+-------------------------------+-------+----------+---------------+
| Batsman                       | Runs  | Hundreds | Runs/Hundreds |
| Pathum Nissanka               | 2033  | 14       | 145.21        |
| Johnny Tyldesley              | 12487 | 86       | 145.19        |
| David Bedingham               | 1597  | 11       | 145.18        |
| Sunny Jim Mackay              | 871   | 6        | 145.16        |
| Leon Garrick                  | 871   | 6        | 145.16        |
| Taibur Rahman                 | 1016  | 7        | 145.14        |
| Teddy Hoad                    | 1161  | 8        | 145.12        |
| Shiv Sunder Das               | 3483  | 24       | 145.12        |
| Charlie Elliott               | 1306  | 9        | 145.11        |
| Bill Woodfull                 | 7109  | 49       | 145.08        |
| Devon Conway                  | 3046  | 21       | 145.04        |
| Ashan Priyanjan               | 1740  | 12       | 145.00        |
| Chandra Sarwate               | 2030  | 14       | 145.00        |
| Renford Pinnock               | 870   | 6        | 145.00        |
| Lalu Rajput                   | 2899  | 20       | 144.95        |
| Graeme van Buuren             | 1594  | 11       | 144.90        |
| Kedar Devdhar                 | 1449  | 10       | 144.90        |
| Alfred Jeacocke               | 1159  | 8        | 144.87        |
| Benjamin Hector               | 1014  | 7        | 144.85        |
| Ricardo Vasconcelos           | 1014  | 7        | 144.85        |
| Jason Arnberger               | 1883  | 13       | 144.84        |
| Shunter Coen                  | 869   | 6        | 144.83        |
| Jermaine Blackwood            | 869   | 6        | 144.83        |
| Lionel Palairet               | 3910  | 27       | 144.81        |
| Jonathan Bairstow             | 3620  | 25       | 144.80        |
| Lou Vincent                   | 1448  | 10       | 144.80        |
| Peter Lashley                 | 1158  | 8        | 144.75        |
| Janneman Malan                | 1737  | 12       | 144.75        |
| Grant Flower                  | 3329  | 23       | 144.73        |
| Adnan Raees                   | 2171  | 15       | 144.73        |
| Jimmy Maher                   | 3905  | 27       | 144.62        |
| Rameez Alam                   | 1012  | 7        | 144.57        |
| Akbar-ur-Rehman               | 2024  | 14       | 144.57        |
| Jeff Moss                     | 1301  | 9        | 144.55        |
| Abhay Sharma                  | 1301  | 9        | 144.55        |
| Abdul Mazid                   | 1590  | 11       | 144.54        |
| Aidan Crawley                 | 1590  | 11       | 144.54        |
| Robbie O'Donnell              | 867   | 6        | 144.50        |
| John Langridge                | 10981 | 76       | 144.48        |
| Abhijit Kale                  | 3612  | 25       | 144.48        |
| Sachin Tendulkar              | 11700 | 81       | 144.44        |
| Louis Wilkinson               | 1300  | 9        | 144.44        |
| Jack Kerr                     | 1155  | 8        | 144.37        |
| Hashmatullah Shahidi          | 866   | 6        | 144.33        |
| Sam Trimble                   | 3752  | 26       | 144.30        |
| Nazar Mohammad                | 1154  | 8        | 144.25        |
| Herby Wade                    | 1298  | 9        | 144.22        |
| Matthew Kleinveldt            | 2019  | 14       | 144.21        |
| David Hookes                  | 4614  | 32       | 144.18        |
| Saba Karim                    | 3172  | 22       | 144.18        |
| Israrullah                    | 1874  | 13       | 144.15        |
| Farhad Reza                   | 1009  | 7        | 144.14        |
| Greg Hay                      | 2162  | 15       | 144.13        |
| Stork Hendry                  | 2017  | 14       | 144.07        |
| Russell Warren                | 2161  | 15       | 144.06        |
| Dean Elgar                    | 6337  | 44       | 144.02        |
| Akshath Reddy                 | 2160  | 15       | 144.00        |
| Bhanuka Rajapaksa             | 1296  | 9        | 144.00        |
| Sanju Samson                  | 1440  | 10       | 144.00        |
| Roger Twose                   | 2591  | 18       | 143.94        |
| Mohammad Yousuf               | 4318  | 30       | 143.93        |
| Jim Burke                     | 3022  | 21       | 143.90        |
| Peter Carlstein               | 1295  | 9        | 143.88        |
| Zakir Hussain                 | 863   | 6        | 143.83        |
| Aamer Sajjad                  | 2445  | 17       | 143.82        |
| Rashmi Parida                 | 2301  | 16       | 143.81        |
| Theunis de Bruyn              | 2157  | 15       | 143.80        |
| Minod Bhanuka                 | 1581  | 11       | 143.72        |
| John Reid                     | 5605  | 39       | 143.71        |
| Frank Tarrant                 | 4739  | 33       | 143.60        |
| Hrishikesh Kanitkar           | 4736  | 33       | 143.51        |
| Xen Balaskas                  | 861   | 6        | 143.50        |
| Lahiru Milantha               | 1722  | 12       | 143.50        |
| Jeet Raval                    | 2439  | 17       | 143.47        |
| Pankaj Dharmani               | 3729  | 26       | 143.42        |
| Reginald Foster               | 3155  | 22       | 143.40        |
| Mandy Mitchell-Innes          | 1864  | 13       | 143.38        |
| Eoin Morgan                   | 1577  | 11       | 143.36        |
| Steve James                   | 6738  | 47       | 143.36        |
| Cameron Bancroft              | 2437  | 17       | 143.35        |
| Gordon Greenidge              | 13188 | 92       | 143.34        |
| Len Hutton                    | 18476 | 129      | 143.22        |
| Polly Umrigar                 | 7016  | 49       | 143.18        |
| Charles Macartney             | 7015  | 49       | 143.16        |
| Kiran Carlson                 | 1002  | 7        | 143.14        |
| Syd Gregory                   | 3578  | 25       | 143.12        |
| Yasir Hameed                  | 3577  | 25       | 143.08        |
| Richard Blakey                | 1860  | 13       | 143.07        |
| Chris Rogers                  | 10873 | 76       | 143.06        |
| Dilip Sardesai                | 3576  | 25       | 143.04        |
| Andy Ducat                    | 7437  | 52       | 143.01        |
| James Bryant                  | 1144  | 8        | 143.00        |
| Billy Sutcliffe               | 858   | 6        | 143.00        |
| Cecil Thompson                | 1573  | 11       | 143.00        |
| Tommy Andrews                 | 2001  | 14       | 142.92        |
| Kaushal Silva                 | 5858  | 41       | 142.87        |
| Ken Mackay                    | 3286  | 23       | 142.86        |
| Andy Sandham                  | 15287 | 107      | 142.86        |
| Ian Lee                       | 1000  | 7        | 142.85        |
| Tariq Aziz                    | 857   | 6        | 142.83        |
| David Hussey                  | 6427  | 45       | 142.82        |
| Arthur Jones                  | 4855  | 34       | 142.79        |
| Vusimuzi Sibanda              | 2570  | 18       | 142.77        |
| Mike Gatting                  | 13421 | 94       | 142.77        |
| Archie MacLaren               | 6709  | 47       | 142.74        |
| Charlie Townsend              | 2997  | 21       | 142.71        |
| Javed Miandad                 | 11414 | 80       | 142.67        |
| Frank Druce                   | 1284  | 9        | 142.66        |
| Matthew Phelps                | 856   | 6        | 142.66        |
| Seymour Nurse                 | 3709  | 26       | 142.65        |
| Michael Clarke                | 6417  | 45       | 142.60        |
| Bazid Khan                    | 2139  | 15       | 142.60        |
| Marcus Harris                 | 2709  | 19       | 142.57        |
| Rishabh Pant                  | 1283  | 9        | 142.55        |
| Coimbatarao Gopinath          | 1283  | 9        | 142.55        |
| Clinton Perren                | 1425  | 10       | 142.50        |
| Greg Blewett                  | 6127  | 43       | 142.48        |
| Saman Jayantha                | 2564  | 18       | 142.44        |
| David White                   | 997   | 7        | 142.42        |
| Mohammad Hafeez               | 3702  | 26       | 142.38        |
| Brett D'Oliveira              | 1139  | 8        | 142.37        |
| Sunny Singh                   | 1993  | 14       | 142.35        |
| Stephen Fleming               | 4982  | 35       | 142.34        |
| Shashikant Khandkar           | 1708  | 12       | 142.33        |
| Robert Key                    | 7685  | 54       | 142.31        |
| Dick Moore                    | 1423  | 10       | 142.30        |
| Rohan Kanhai                  | 12237 | 86       | 142.29        |
| Akhil Herwadkar               | 996   | 7        | 142.28        |
| Maurice Hallam                | 4553  | 32       | 142.28        |
| Nick Browne                   | 2276  | 16       | 142.25        |
| Herbert Sutcliffe             | 21479 | 151      | 142.24        |
| Teddy Wynyard                 | 1849  | 13       | 142.23        |
| Billy Zulch                   | 1280  | 9        | 142.22        |
| Saurabh Shukla                | 995   | 7        | 142.14        |
| Amandeep Khare                | 1137  | 8        | 142.12        |
| Rumesh Buddika                | 2274  | 16       | 142.12        |
| Hasan Raza                    | 5116  | 36       | 142.11        |
| Imam-ul-Haq                   | 1279  | 9        | 142.11        |
| Ahmed Shehzad                 | 1989  | 14       | 142.07        |
| Fred Grace                    | 1136  | 8        | 142.00        |
| Ankit Bawne                   | 2840  | 20       | 142.00        |
| Raymond Gripper               | 994   | 7        | 142.00        |
| Usman Saeed                   | 1136  | 8        | 142.00        |
| Jim de Courcy                 | 852   | 6        | 142.00        |
| Umar Akmal                    | 2413  | 17       | 141.94        |
| George Cox                    | 7097  | 50       | 141.94        |
| Alan Fordham                  | 3548  | 25       | 141.92        |
| Mohammad Rizwan               | 1561  | 11       | 141.90        |
| Sarel Erwee                   | 1561  | 11       | 141.90        |
| Gagan Khoda                   | 2838  | 20       | 141.90        |
| Jack Board                    | 1277  | 9        | 141.88        |
| AB de Villiers                | 3547  | 25       | 141.88        |
| Walter Read                   | 5391  | 38       | 141.86        |
| Andrew Kennedy                | 851   | 6        | 141.83        |
| Edward Barrett                | 851   | 6        | 141.83        |
| Alfred Hartley                | 851   | 6        | 141.83        |
| Mushfiqur Rahim               | 1702  | 12       | 141.83        |
| Dimuth Karunaratne            | 5957  | 42       | 141.83        |
| Sir Alastair Cook             | 9784  | 69       | 141.79        |
| Sagun Kamat                   | 1276  | 9        | 141.77        |
| Ajit Wadekar                  | 5104  | 36       | 141.77        |
| Prithvi Shaw                  | 1276  | 9        | 141.77        |
| Priyank Panchal               | 3402  | 24       | 141.75        |
| Peter Kirsten                 | 8075  | 57       | 141.66        |
| Dominic Sibley                | 2125  | 15       | 141.66        |
| Kepler Wessels                | 9350  | 66       | 141.66        |
| Shrikant Mundhe               | 850   | 6        | 141.66        |
| Dattu Phadkar                 | 1133  | 8        | 141.62        |
| Matt Horne                    | 3398  | 24       | 141.58        |
| Bill Edrich                   | 12175 | 86       | 141.56        |
| Dominic Hendricks             | 2265  | 16       | 141.56        |
| Qasim Umar                    | 2548  | 18       | 141.55        |
| Wasim Akram                   | 990   | 7        | 141.42        |
| Gul Mohammad                  | 1697  | 12       | 141.41        |
| Kripal Singh                  | 1414  | 10       | 141.40        |
| Mick Taylor                   | 1838  | 13       | 141.38        |
| Surinder Amarnath             | 2262  | 16       | 141.37        |
| Jake Weatherald               | 1131  | 8        | 141.37        |
| Pankaj Roy                    | 4665  | 33       | 141.36        |
| Jamie Cox                     | 7209  | 51       | 141.35        |
| Dharaka Ravi Teja             | 1696  | 12       | 141.33        |
| Billy Root                    | 848   | 6        | 141.33        |
| Mohsin Khan                   | 4381  | 31       | 141.32        |
| Ashwell Prince                | 6359  | 45       | 141.31        |
