+-------------------------------+-------+----------+---------------+
| Batsman                       | Runs  | Hundreds | Runs/Hundreds |
| Bert Oldfield                 | 740   | 6        | 123.33        |
| Sven Koenig                   | 1973  | 16       | 123.31        |
| Vijay Mehra                   | 1603  | 13       | 123.30        |
| Brian Hardie                  | 3329  | 27       | 123.29        |
| Asif Iqbal                    | 5548  | 45       | 123.28        |
| Harry Whitehead               | 1726  | 14       | 123.28        |
| Ron Hamence                   | 1356  | 11       | 123.27        |
| Graham Johnson                | 1356  | 11       | 123.27        |
| Shitanshu Kotak               | 1849  | 15       | 123.26        |
| Trevor Franklin               | 1849  | 15       | 123.26        |
| John Human                    | 1849  | 15       | 123.26        |
| Ledger Hill                   | 2342  | 19       | 123.26        |
| Franklyn Stephenson           | 1479  | 12       | 123.25        |
| Mickey Arthur                 | 1602  | 13       | 123.23        |
| Jonty Rhodes                  | 2711  | 22       | 123.22        |
| Blair Pocock                  | 1232  | 10       | 123.20        |
| James Langridge               | 5173  | 42       | 123.16        |
| Raju Gayashan                 | 739   | 6        | 123.16        |
| Ian Moore                     | 862   | 7        | 123.14        |
| Peter Sleep                   | 1847  | 15       | 123.13        |
| Thilak Naidu                  | 985   | 8        | 123.12        |
| Cyril Smart                   | 1108  | 9        | 123.11        |
| Jack MacBryan                 | 2216  | 18       | 123.11        |
| Wajid Ali                     | 1354  | 11       | 123.09        |
| Rajiv Kumar                   | 1230  | 10       | 123.00        |
| Shahid Yousuf                 | 1476  | 12       | 123.00        |
| Wilfred Flowers               | 1107  | 9        | 123.00        |
| Ben Slater                    | 1107  | 9        | 123.00        |
| David Collins                 | 738   | 6        | 123.00        |
| Collis King                   | 1721  | 14       | 122.92        |
| Jack Sharp                    | 4671  | 38       | 122.92        |
| Dhiman Ghosh                  | 1475  | 12       | 122.91        |
| Billy Godleman                | 2704  | 22       | 122.90        |
| Barry Dudleston               | 3933  | 32       | 122.90        |
| Ted Wainwright                | 2335  | 19       | 122.89        |
| Jonathan Moss                 | 860   | 7        | 122.85        |
| Tanveer Haider                | 860   | 7        | 122.85        |
| Kyle Nipper                   | 737   | 6        | 122.83        |
| Arthur Carr                   | 5527  | 45       | 122.82        |
| Jonathan Vandiar              | 1351  | 11       | 122.81        |
| Tom Young                     | 1351  | 11       | 122.81        |
| Mehrab Hossain                | 1965  | 16       | 122.81        |
| Rob Newton                    | 1842  | 15       | 122.80        |
| Adrian Kuiper                 | 1105  | 9        | 122.77        |
| Bert Wolton                   | 1473  | 12       | 122.75        |
| Joe Hardstaff                 | 3191  | 26       | 122.73        |
| John Lyons                    | 1350  | 11       | 122.72        |
| Tim Bresnan                   | 859   | 7        | 122.71        |
| Akshay Wadkar                 | 859   | 7        | 122.71        |
| Warren Ayres                  | 859   | 7        | 122.71        |
| Tony Pawson                   | 859   | 7        | 122.71        |
| Brad Haddin                   | 2086  | 17       | 122.70        |
| Prasad Reddy                  | 736   | 6        | 122.66        |
| Aubrey Hill                   | 736   | 6        | 122.66        |
| Daniel Vettori                | 1104  | 9        | 122.66        |
| Shuvagata Hom                 | 1962  | 16       | 122.62        |
| Alan Wharton                  | 3800  | 31       | 122.58        |
| Les Lenham                    | 858   | 7        | 122.57        |
| Madapusi Srinivasaprasad      | 858   | 7        | 122.57        |
| Vic Jackson                   | 2574  | 21       | 122.57        |
| Azhar Khan                    | 1961  | 16       | 122.56        |
| Sohag Gazi                    | 1103  | 9        | 122.55        |
| Arnold Dyson                  | 2941  | 24       | 122.54        |
| Henry Davids                  | 1593  | 13       | 122.53        |
| Chamara Kapugedera            | 980   | 8        | 122.50        |
| Henry Jupp                    | 1470  | 12       | 122.50        |
| Arani Jayaprakash             | 735   | 6        | 122.50        |
| Sean Williams                 | 1715  | 14       | 122.50        |
| Dickie Dodds                  | 2082  | 17       | 122.47        |
| Ben Foakes                    | 1347  | 11       | 122.45        |
| Graham Napier                 | 857   | 7        | 122.42        |
| Johnny Briggs                 | 1224  | 10       | 122.40        |
| Ahmed Amla                    | 1591  | 13       | 122.38        |
| Frederick Stocks              | 1591  | 13       | 122.38        |
| Arthur Croom                  | 2937  | 24       | 122.37        |
| Maynard Ashcroft              | 979   | 8        | 122.37        |
| Anisur Rahman                 | 979   | 8        | 122.37        |
| Basil D'Oliveira              | 5506  | 45       | 122.35        |
| Ravi Inder Singh              | 734   | 6        | 122.33        |
| Arthur Day                    | 1590  | 13       | 122.30        |
| Brian Close                   | 6360  | 52       | 122.30        |
| Edward Sprot                  | 1590  | 13       | 122.30        |
| Madawa Warnapura              | 1223  | 10       | 122.30        |
| Nadeera Nawela                | 1223  | 10       | 122.30        |
| Sir Richard Hadlee            | 1712  | 14       | 122.28        |
| Mahesh Rawat                  | 1712  | 14       | 122.28        |
| Chris Balderstone             | 3913  | 32       | 122.28        |
| Brian Booth                   | 2201  | 18       | 122.27        |
| Bruce Pairaudeau              | 1345  | 11       | 122.27        |
| Zohaib Khan                   | 978   | 8        | 122.25        |
| Kapil Dev                     | 2200  | 18       | 122.22        |
| Dirk Wellham                  | 1955  | 16       | 122.18        |
| Wazir Mohammad                | 1344  | 11       | 122.18        |
| Charles Williams              | 733   | 6        | 122.16        |
| Mohammad Ilyas                | 1466  | 12       | 122.16        |
| Stephen Stubbings             | 1466  | 12       | 122.16        |
| Remembrance Nyathi            | 855   | 7        | 122.14        |
| Geoff Cook                    | 4519  | 37       | 122.13        |
| Trevor Barsby                 | 1832  | 15       | 122.13        |
| Ken Suttle                    | 5983  | 49       | 122.10        |
| Dav Whatmore                  | 1221  | 10       | 122.10        |
| Pete Trego                    | 1831  | 15       | 122.06        |
| Asif Mohammad                 | 854   | 7        | 122.00        |
| Basit Ali                     | 2562  | 21       | 122.00        |
| Dinusha Fernando              | 732   | 6        | 122.00        |
| Kakkudasam Rajagopal          | 854   | 7        | 122.00        |
| John Clay                     | 1342  | 11       | 122.00        |
| Richard Gilliat               | 2195  | 18       | 121.94        |
| Joe Vine                      | 4146  | 34       | 121.94        |
| Trevor Penney                 | 1829  | 15       | 121.93        |
| Gary Stead                    | 1219  | 10       | 121.90        |
| Dwayne Bravo                  | 975   | 8        | 121.87        |
| Madan Lal                     | 2681  | 22       | 121.86        |
| Alan Turner                   | 853   | 7        | 121.85        |
| Mohammad Wasim                | 3290  | 27       | 121.85        |
| CS Sureshkumar                | 731   | 6        | 121.83        |
| Saleem Pervez                 | 1949  | 16       | 121.81        |
| Alexander Johnston            | 1218  | 10       | 121.80        |
| Denys Wilcox                  | 1827  | 15       | 121.80        |
| Shahzaib Hasan                | 1096  | 9        | 121.77        |
| Danny Livingstone             | 1948  | 16       | 121.75        |
| Dan Marsh                     | 1948  | 16       | 121.75        |
| Ned Eckersley                 | 1948  | 16       | 121.75        |
| Hasantha Fernando             | 1217  | 10       | 121.70        |
| Matt Prior                    | 3407  | 28       | 121.67        |
| Mathew Dowman                 | 1095  | 9        | 121.66        |
| Ali Waqas                     | 973   | 8        | 121.62        |
| Naseer Ahmed                  | 1216  | 10       | 121.60        |
| Marques Ackerman              | 1216  | 10       | 121.60        |
| Umair Khan                    | 1216  | 10       | 121.60        |
| David Fletcher                | 2675  | 22       | 121.59        |
| Nick Selman                   | 851   | 7        | 121.57        |
| Derek Kenway                  | 851   | 7        | 121.57        |
| Arthur Chipperfield           | 1094  | 9        | 121.55        |
| George Bean                   | 1094  | 9        | 121.55        |
| Randall Johnson               | 2188  | 18       | 121.55        |
| Dick Pearson                  | 2674  | 22       | 121.54        |
| Billy Newham                  | 2309  | 19       | 121.52        |
| Madhav Dalvi                  | 729   | 6        | 121.50        |
| Terry Jarvis                  | 729   | 6        | 121.50        |
| Ben Wright                    | 729   | 6        | 121.50        |
| Arun Harinath                 | 729   | 6        | 121.50        |
| Robert Croft                  | 972   | 8        | 121.50        |
| Nikhil Haldipur               | 972   | 8        | 121.50        |
| Henry Horton                  | 3887  | 32       | 121.46        |
| Mike Rindel                   | 1579  | 13       | 121.46        |
| Jack Fingleton                | 2672  | 22       | 121.45        |
| Naushad Ali                   | 1093  | 9        | 121.44        |
| Wilf Payton                   | 4736  | 39       | 121.43        |
| Tony Lewis                    | 3643  | 30       | 121.43        |
| Kruger van Wyk                | 850   | 7        | 121.42        |
| Mike Shrimpton                | 850   | 7        | 121.42        |
| Maisam Hasnain                | 850   | 7        | 121.42        |
| Sharmarh Brooks               | 850   | 7        | 121.42        |
| Scott Briasco                 | 728   | 6        | 121.33        |
| Chirag Khurana                | 728   | 6        | 121.33        |
| Albert Alderman               | 1456  | 12       | 121.33        |
| John Hampshire                | 5217  | 43       | 121.32        |
| Chandrakant Pandit            | 2669  | 22       | 121.31        |
| Manoj Sarathchandra           | 1213  | 10       | 121.30        |
| Desmond Eagar                 | 1213  | 10       | 121.30        |
| Sam Day                       | 849   | 7        | 121.28        |
| Brian Edmeades                | 1698  | 14       | 121.28        |
| Sher Mohammad                 | 849   | 7        | 121.28        |
| Parthasarthy Sharma           | 2183  | 18       | 121.27        |
| Shane Lee                     | 1455  | 12       | 121.25        |
| Zahid Ahmed                   | 1455  | 12       | 121.25        |
| Arthur Milton                 | 6790  | 56       | 121.25        |
| Shahid Afridi                 | 1455  | 12       | 121.25        |
| Asanka Gurusinha              | 2424  | 20       | 121.20        |
| Rakesh Shukla                 | 727   | 6        | 121.16        |
| Louis Hall                    | 1454  | 12       | 121.16        |
| Kenneth MacLeod               | 727   | 6        | 121.16        |
| Sunil Oasis                   | 727   | 6        | 121.16        |
| Tom Taylor                    | 1575  | 13       | 121.15        |
| Ryan McLaren                  | 848   | 7        | 121.14        |
| Reg Santall                   | 2544  | 21       | 121.14        |
| Ankit Kalsi                   | 848   | 7        | 121.14        |
| Ray Illingworth               | 2662  | 22       | 121.00        |
| Padam Shastri                 | 847   | 7        | 121.00        |
| Dick Richardson               | 1936  | 16       | 121.00        |
| Faisal Hossain                | 1452  | 12       | 121.00        |
| Buddy Oldfield                | 4596  | 38       | 120.94        |
| Jack Ikin                     | 3265  | 27       | 120.92        |
| Phil Neale                    | 3385  | 28       | 120.89        |
| Keith Greenfield              | 1088  | 9        | 120.88        |
| Talbot Lewis                  | 1088  | 9        | 120.88        |
| Andy Bichel                   | 1088  | 9        | 120.88        |
| Dudley Owen-Thomas            | 967   | 8        | 120.87        |
| Ross McMillan                 | 967   | 8        | 120.87        |
| Sajjad Akbar                  | 846   | 7        | 120.85        |
| Alan Ealham                   | 846   | 7        | 120.85        |
| Tehsin Javed                  | 846   | 7        | 120.85        |
| Manoj Mendis                  | 846   | 7        | 120.85        |
| Michael Richardson            | 725   | 6        | 120.83        |
| Lord Harris                   | 1329  | 11       | 120.81        |
| George Emmett                 | 4470  | 37       | 120.81        |
| Frank Mann                    | 1087  | 9        | 120.77        |
| Micky Bear                    | 1087  | 9        | 120.77        |
| Ron Headley                   | 3864  | 32       | 120.75        |
| Basher Hassan                 | 1811  | 15       | 120.73        |
| Devon Thomas                  | 845   | 7        | 120.71        |
| Kevan James                   | 1207  | 10       | 120.70        |
| Deryck Murray                 | 1207  | 10       | 120.70        |
| Keith Kirton                  | 1207  | 10       | 120.70        |
| Will Bragg                    | 724   | 6        | 120.66        |
| Peter Toohey                  | 1448  | 12       | 120.66        |
| Chinthaka Jayasinghe          | 1327  | 11       | 120.63        |
| Stephen Murdoch               | 1568  | 13       | 120.61        |
| Richard Lumb                  | 2653  | 22       | 120.59        |
| John Simpson                  | 844   | 7        | 120.57        |
| Jack Taylor                   | 844   | 7        | 120.57        |
| Billy Barnes                  | 2532  | 21       | 120.57        |
| Dudley Pope                   | 844   | 7        | 120.57        |
| Jason Roy                     | 1085  | 9        | 120.55        |
| Brian Whitfield               | 1326  | 11       | 120.54        |
| Mark Bruyns                   | 2049  | 17       | 120.52        |
| Jason Pooley                  | 964   | 8        | 120.50        |
| Tom Horan                     | 964   | 8        | 120.50        |
| Paul McEwan                   | 1446  | 12       | 120.50        |
| Nafees Iqbal                  | 1205  | 10       | 120.50        |
| Shane Burger                  | 723   | 6        | 120.50        |
| Box Case                      | 1084  | 9        | 120.44        |
| Gerry Strydom                 | 1084  | 9        | 120.44        |
| Lee Irvine                    | 2529  | 21       | 120.42        |
| Brian McMillan                | 1686  | 14       | 120.42        |
| Frank Vigar                   | 1445  | 12       | 120.41        |
| Kashif Siddiq                 | 1565  | 13       | 120.38        |
| Ephraim Lockwood              | 963   | 8        | 120.37        |
| Mahmudullah                   | 1685  | 14       | 120.35        |
| Jeff Dujon                    | 2527  | 21       | 120.33        |
| Dave Callaghan                | 2166  | 18       | 120.33        |
| Daljit Singh                  | 842   | 7        | 120.28        |
| Harry Pilling                 | 3007  | 25       | 120.28        |
| Ruwin Peiris                  | 1323  | 11       | 120.27        |
| Bunny Lucas                   | 962   | 8        | 120.25        |
| Clive Radley                  | 5531  | 46       | 120.23        |
| Brian Reynolds                | 2525  | 21       | 120.23        |
| Wasim Raja                    | 2044  | 17       | 120.23        |
| Graham Cowdrey                | 2044  | 17       | 120.23        |
| Piran Holloway                | 1082  | 9        | 120.22        |
| Intikhab Alam                 | 1082  | 9        | 120.22        |
| Feroz Mehdi                   | 721   | 6        | 120.16        |
| Sahan Wijeratne               | 721   | 6        | 120.16        |
| Bodapati Sumanth              | 721   | 6        | 120.16        |
| Gokul Sharma                  | 841   | 7        | 120.14        |
| Peter Sainsbury               | 841   | 7        | 120.14        |
| Gary Cosier                   | 841   | 7        | 120.14        |
| Peter Parfitt                 | 6967  | 58       | 120.12        |
| Junior Murray                 | 1321  | 11       | 120.09        |
| Robert Quiney                 | 1321  | 11       | 120.09        |
| Mark Ealham                   | 1561  | 13       | 120.07        |
| Luke Sutton                   | 1320  | 11       | 120.00        |
| Ashraf Ali                    | 960   | 8        | 120.00        |
| Rob Nicol                     | 1200  | 10       | 120.00        |
| Shujauddin                    | 720   | 6        | 120.00        |
| Joseph Yovich                 | 720   | 6        | 120.00        |
| Arthur Phebey                 | 1560  | 13       | 120.00        |
| Bilal Asad                    | 1320  | 11       | 120.00        |
| Willis Walker                 | 3716  | 31       | 119.87        |
| Shahid Javed                  | 1678  | 14       | 119.85        |
| Peter Moores                  | 839   | 7        | 119.85        |
| Herbert Bainbridge            | 839   | 7        | 119.85        |
| Kieran Powell                 | 839   | 7        | 119.85        |
| Nobbie Ralph                  | 719   | 6        | 119.83        |
| Naveed Nawaz                  | 1438  | 12       | 119.83        |
| Phil King                     | 719   | 6        | 119.83        |
| Kenneth Hutchings             | 2636  | 22       | 119.81        |
| Clive Inman                   | 2516  | 21       | 119.80        |
| Paul Johnson                  | 4791  | 40       | 119.77        |
| Gulabrai Ramchand             | 1916  | 16       | 119.75        |
| Saad Nasim                    | 838   | 7        | 119.71        |
| Algy Gehrs                    | 1556  | 13       | 119.69        |
| Alan Melville                 | 2992  | 25       | 119.68        |
| Bert Wensley                  | 1077  | 9        | 119.66        |
| Cyril Helfrich                | 718   | 6        | 119.66        |
| Maurice Tremlett              | 1914  | 16       | 119.62        |
| Manzoor Elahi                 | 1196  | 10       | 119.60        |
| Paul Stirling                 | 717   | 6        | 119.50        |
| Edulji Aibara                 | 1075  | 9        | 119.44        |
| David Smith                   | 1075  | 9        | 119.44        |
| Greg Matthews                 | 1552  | 13       | 119.38        |
| Jacob Oram                    | 955   | 8        | 119.37        |
| James Hallows                 | 955   | 8        | 119.37        |
| Tom Abell                     | 955   | 8        | 119.37        |
| Tim Boon                      | 1671  | 14       | 119.35        |
| Jamie Hall                    | 716   | 6        | 119.33        |
| Heath Streak                  | 716   | 6        | 119.33        |
| Rasika Priyadarshana          | 716   | 6        | 119.33        |
| Aftab Alam                    | 835   | 7        | 119.28        |
| Wihan Lubbe                   | 835   | 7        | 119.28        |
| Zia-ul-Haq                    | 1312  | 11       | 119.27        |
| Jeremy Coney                  | 954   | 8        | 119.25        |
| Eknath Solkar                 | 954   | 8        | 119.25        |
| Robert Anderson               | 954   | 8        | 119.25        |
| Anushka Polonowita            | 954   | 8        | 119.25        |
| Laurie Johnson                | 1908  | 16       | 119.25        |
| Ray Hitchcock                 | 1550  | 13       | 119.23        |
| Steve Croft                   | 1669  | 14       | 119.21        |
| Kurtis Patterson              | 1192  | 10       | 119.20        |
| Niel Bredenkamp               | 715   | 6        | 119.16        |
| Ian Davis                     | 834   | 7        | 119.14        |
| George Mann                   | 834   | 7        | 119.14        |
| Ali Naqvi                     | 1668  | 14       | 119.14        |
| Paul Nobes                    | 1787  | 15       | 119.13        |
| David Lewis                   | 953   | 8        | 119.12        |
| Nishit Shetty                 | 953   | 8        | 119.12        |
| Adnan Akmal                   | 1072  | 9        | 119.11        |
| Raja Ali                      | 1072  | 9        | 119.11        |
| Percy Fender                  | 2500  | 21       | 119.04        |
| Derek Crookes                 | 1190  | 10       | 119.00        |
| Herbert Wilson                | 714   | 6        | 119.00        |
| Gerald Innes                  | 833   | 7        | 119.00        |
| Warren Hegg                   | 833   | 7        | 119.00        |
| Giff Vivian                   | 714   | 6        | 119.00        |
| Doug Padgett                  | 3807  | 32       | 118.96        |
| Raees Ahmed                   | 1546  | 13       | 118.92        |
| Bob Broadbent                 | 1546  | 13       | 118.92        |
| Derek Chadwick                | 1070  | 9        | 118.88        |
| Greg Smith                    | 951   | 8        | 118.87        |
| Lasith Fernando               | 951   | 8        | 118.87        |
| Dammika Rajapakse             | 832   | 7        | 118.85        |
| Tom Fishwick                  | 1545  | 13       | 118.84        |
| Jack Timms                    | 3684  | 31       | 118.83        |
| Alex Hughes                   | 713   | 6        | 118.83        |
| Jack Newman                   | 1188  | 10       | 118.80        |
| Gerald Lester                 | 1069  | 9        | 118.77        |
| Luke Ronchi                   | 1900  | 16       | 118.75        |
| Jos Buttler                   | 831   | 7        | 118.71        |
| Charles Baker                 | 1187  | 10       | 118.70        |
| Allan Watkins                 | 3798  | 32       | 118.68        |
| Mike Smedley                  | 3323  | 28       | 118.67        |
| Robert Yates                  | 712   | 6        | 118.66        |
| Colin McCool                  | 2136  | 18       | 118.66        |
| Alexander Eccles              | 712   | 6        | 118.66        |
| Laxmidas Jai                  | 712   | 6        | 118.66        |
| Anthony Biggs                 | 949   | 8        | 118.62        |
| Patrick Botha                 | 1897  | 16       | 118.56        |
| Laurie Potter                 | 948   | 8        | 118.50        |
| Jack Richards                 | 948   | 8        | 118.50        |
| Atul Bedade                   | 1185  | 10       | 118.50        |
| Neil Johnson                  | 1303  | 11       | 118.45        |
| Yasir Ali                     | 1066  | 9        | 118.44        |
| Iqbal Imam                    | 1066  | 9        | 118.44        |
| Jamie Brayshaw                | 1184  | 10       | 118.40        |
| Mark Crawley                  | 947   | 8        | 118.37        |
| Sunendra Kumara               | 947   | 8        | 118.37        |
| Mike Barnard                  | 710   | 6        | 118.33        |
| David Shepherd                | 1420  | 12       | 118.33        |
| Gihahn Cloete                 | 1065  | 9        | 118.33        |
| Rizwan Ahmed                  | 2011  | 17       | 118.29        |
| Monte Lynch                   | 4612  | 39       | 118.25        |
| David Capel                   | 1891  | 16       | 118.18        |
| Gayan Wijekoon                | 2009  | 17       | 118.17        |
| Ernest Needham                | 827   | 7        | 118.14        |
| Ben Wilson                    | 1772  | 15       | 118.13        |
| Simon Bezuidenhout            | 945   | 8        | 118.12        |
| Rick Darling                  | 1063  | 9        | 118.11        |
| John Shepherd                 | 1181  | 10       | 118.10        |
| Barry Knight                  | 1417  | 12       | 118.08        |
| Mannava Prasad                | 708   | 6        | 118.00        |
| Jack Crapp                    | 4484  | 38       | 118.00        |
| Yogesh Ghare                  | 708   | 6        | 118.00        |
| Siddhesh Lad                  | 944   | 8        | 118.00        |
| Eric Tindill                  | 708   | 6        | 118.00        |
| Syed Kirmani                  | 1533  | 13       | 117.92        |
| Farooq Shera                  | 1297  | 11       | 117.90        |
| Des Schonegevel               | 1179  | 10       | 117.90        |
| Billy Bates                   | 1179  | 10       | 117.90        |
| Jonathan Beukes               | 1061  | 9        | 117.88        |
| Alan Knott                    | 2004  | 17       | 117.88        |
| Shahid Qambrani               | 943   | 8        | 117.87        |
| Prince Masvaure               | 943   | 8        | 117.87        |
| Colin de Grandhomme           | 1650  | 14       | 117.85        |
| John Parker                   | 2475  | 21       | 117.85        |
| Alan Townsend                 | 707   | 6        | 117.83        |
| Tahir Shah                    | 707   | 6        | 117.83        |
| Malintha Perera               | 707   | 6        | 117.83        |
| Steve Marsh                   | 1060  | 9        | 117.77        |
| Gareth Rees                   | 1531  | 13       | 117.76        |
| Adam Rossington               | 824   | 7        | 117.71        |
| Tom Enthoven                  | 1059  | 9        | 117.66        |
| Dave Richardson               | 706   | 6        | 117.66        |
| David Hughes                  | 941   | 8        | 117.62        |
| Adam Parore                   | 1176  | 10       | 117.60        |
| Joe Hills                     | 823   | 7        | 117.57        |
| Daniel Hughes                 | 823   | 7        | 117.57        |
| Dasun Shanaka                 | 1058  | 9        | 117.55        |
| Jim Pressdee                  | 1528  | 13       | 117.53        |
| Shaukat Mirza                 | 2468  | 21       | 117.52        |
| Hammad Azam                   | 940   | 8        | 117.50        |
| Thelston Payne                | 705   | 6        | 117.50        |
| Glenn Phillips                | 705   | 6        | 117.50        |
| Richard Harden                | 3289  | 28       | 117.46        |
| Roston Chase                  | 1057  | 9        | 117.44        |
| Roger Winlaw                  | 822   | 7        | 117.42        |
| Brad Wilson                   | 1644  | 14       | 117.42        |
| Alfred Lyttelton              | 822   | 7        | 117.42        |
| Kris Srikkanth                | 1409  | 12       | 117.41        |
| Paul Parker                   | 5518  | 47       | 117.40        |
| Con Johnstone                 | 704   | 6        | 117.33        |
| Nasim Khan                    | 1056  | 9        | 117.33        |
| Neil Burns                    | 821   | 7        | 117.28        |
| Peter Gibbs                   | 1290  | 11       | 117.27        |
| Walter Quaife                 | 1172  | 10       | 117.20        |
| Nigel Felton                  | 1758  | 15       | 117.20        |
| Naved Anjum                   | 703   | 6        | 117.16        |
| Peter Denning                 | 937   | 8        | 117.12        |
| Daniel Manohar                | 937   | 8        | 117.12        |
| Cyril Sewell                  | 1054  | 9        | 117.11        |
| Asim Kamal                    | 1288  | 11       | 117.09        |
| John Daniell                  | 1053  | 9        | 117.00        |
| Arthur McIntyre               | 819   | 7        | 117.00        |
| Alastair Hignell              | 1287  | 11       | 117.00        |
| Jimmy Stone                   | 702   | 6        | 117.00        |
| Lal Kumar                     | 702   | 6        | 117.00        |
| Bruce Blair                   | 819   | 7        | 117.00        |
| Geraint Jones                 | 1755  | 15       | 117.00        |
| Mike Page                     | 1052  | 9        | 116.88        |
| Bradman Ediriweera            | 1402  | 12       | 116.83        |
| Ted Clark                     | 701   | 6        | 116.83        |
| Leo Harrison                  | 701   | 6        | 116.83        |
| Arthur Staples                | 1401  | 12       | 116.75        |
| Jim Allenby                   | 1167  | 10       | 116.70        |
| Upul Fernando                 | 1400  | 12       | 116.66        |
| Carman Mapatuna               | 700   | 6        | 116.66        |
| Ray Smith                     | 933   | 8        | 116.62        |
| Nimesh Perera                 | 933   | 8        | 116.62        |
| Stewart Storey                | 1399  | 12       | 116.58        |
| Ruchira Palliyaguru           | 816   | 7        | 116.57        |
| John Kelly                    | 1049  | 9        | 116.55        |
| Peter Graves                  | 1631  | 14       | 116.50        |
| Vic Pollard                   | 699   | 6        | 116.50        |
| Harry Smith                   | 1165  | 10       | 116.50        |
| Sameer Dighe                  | 1165  | 10       | 116.50        |
| Neil Dansie                   | 2097  | 18       | 116.50        |
| Kevin Curran                  | 2912  | 25       | 116.48        |
| George Heane                  | 1048  | 9        | 116.44        |
| Jim Watts                     | 1164  | 10       | 116.40        |
| Donald Knight                 | 1513  | 13       | 116.38        |
| Colin Ingleby-Mackenzie       | 1280  | 11       | 116.36        |
| John Murray                   | 1861  | 16       | 116.31        |
| Cody Chetty                   | 1163  | 10       | 116.30        |
| Richard Daft                  | 814   | 7        | 116.28        |
| Wasim Haider                  | 697   | 6        | 116.16        |
| Hammad Tariq                  | 697   | 6        | 116.16        |
| Zeeshan Ashraf                | 697   | 6        | 116.16        |
| Jack Bond                     | 1626  | 14       | 116.14        |
| Kelly Smuts                   | 1626  | 14       | 116.14        |
| Haroon Rasheed                | 1742  | 15       | 116.13        |
| Alan Revill                   | 1858  | 16       | 116.12        |
| Mark Burgess                  | 2322  | 20       | 116.10        |
| Mark Boucher                  | 1161  | 10       | 116.10        |
| Dennis Silk                   | 812   | 7        | 116.00        |
| Tony Blain                    | 928   | 8        | 116.00        |
| Kiran Powar                   | 928   | 8        | 116.00        |
| Majeed Jahangir               | 1044  | 9        | 116.00        |
| Chaturanga de Silva           | 1160  | 10       | 116.00        |
| Stanley Jayasinghe            | 696   | 6        | 116.00        |
| Martin Venter                 | 696   | 6        | 116.00        |
| Biplab Samantray              | 696   | 6        | 116.00        |
| Mark Wallace                  | 1740  | 15       | 116.00        |
| Richard Hoskin                | 696   | 6        | 116.00        |
| Nadeem Younis                 | 696   | 6        | 116.00        |
| Robert Turner                 | 1159  | 10       | 115.90        |
| David Steele                  | 3477  | 30       | 115.90        |
| Roger Knight                  | 3592  | 31       | 115.87        |
| Mansoor Amjad                 | 811   | 7        | 115.85        |
| Loots Bosman                  | 695   | 6        | 115.83        |
| Waldo Lategan                 | 695   | 6        | 115.83        |
| Inam-ul-Haq                   | 695   | 6        | 115.83        |
| Matthew Wade                  | 1968  | 17       | 115.76        |
| Faisal Naved                  | 926   | 8        | 115.75        |
| Colin Pinch                   | 1389  | 12       | 115.75        |
| Albert Lightfoot              | 1389  | 12       | 115.75        |
| Billy Neale                   | 1620  | 14       | 115.71        |
| Vanka Pratap                  | 694   | 6        | 115.66        |
| Wendell Bill                  | 694   | 6        | 115.66        |
| Alimuddin                     | 1619  | 14       | 115.64        |
| Eric Dalton                   | 1503  | 13       | 115.61        |
| Stuart Leary                  | 2081  | 18       | 115.61        |
| Aditya Waghmode               | 1156  | 10       | 115.60        |
| Harry Halliday                | 1387  | 12       | 115.58        |
| Steven Pope                   | 1387  | 12       | 115.58        |
| John Smith                    | 809   | 7        | 115.57        |
| Dwayne Smith                  | 809   | 7        | 115.57        |
| Kommireddi Kamaraju           | 809   | 7        | 115.57        |
| Nasir Valika                  | 1502  | 13       | 115.53        |
| Jack Gregory                  | 1502  | 13       | 115.53        |
| Sam Cadman                    | 924   | 8        | 115.50        |
| Thomas Hayward                | 693   | 6        | 115.50        |
| John Evans                    | 693   | 6        | 115.50        |
| Bill Lockwood                 | 1732  | 15       | 115.46        |
| Jyoti Yadav                   | 1039  | 9        | 115.44        |
| Roger Woolley                 | 808   | 7        | 115.42        |
| Derek Pringle                 | 1154  | 10       | 115.40        |
| Chris Cairns                  | 1500  | 13       | 115.38        |
| Paul Nixon                    | 2422  | 21       | 115.33        |
| Greg Walsh                    | 692   | 6        | 115.33        |
| Mohtashim Ali                 | 692   | 6        | 115.33        |
| Nikhil Doru                   | 807   | 7        | 115.28        |
| Aftab Gul                     | 1268  | 11       | 115.27        |
| Mark Douglas                  | 1037  | 9        | 115.22        |
| Geoff Holmes                  | 1267  | 11       | 115.18        |
| Kenny Jackson                 | 691   | 6        | 115.16        |
| Henry Bagshaw                 | 806   | 7        | 115.14        |
| Guy Jackson                   | 1036  | 9        | 115.11        |
| Tasamul Haque                 | 1496  | 13       | 115.07        |
| George Dews                   | 2301  | 20       | 115.05        |
| Dhruv Shorey                  | 805   | 7        | 115.00        |
| Ameer Akbar                   | 1610  | 14       | 115.00        |
| Shehzad Malik                 | 805   | 7        | 115.00        |
| William Tavar?                | 690   | 6        | 115.00        |
| Rahul Tripathi                | 805   | 7        | 115.00        |
| Albert Trott                  | 920   | 8        | 115.00        |
| Ian Butcher                   | 1265  | 11       | 115.00        |
| Matthew Boyce                 | 690   | 6        | 115.00        |
| Norman Featherstone           | 1379  | 12       | 114.91        |
| Sohail Jaffar                 | 1149  | 10       | 114.90        |
