+------+-------------------------------+---------+--------+-------+
| Rank | Batsman                       | Average | Others | Ratio |
| 255  | Joe Root                      | 48.66   | 29.40  | 1.655 |
| 256  | Colin Cowdrey                 | 42.89   | 25.91  | 1.654 |
| 257  | Gary Kirsten                  | 48.31   | 29.20  | 1.654 |
| 258  | Angelo Perera                 | 48.08   | 29.07  | 1.653 |
| 259  | Richard Miller                | 21.00   | 12.70  | 1.653 |
| 260  | Carl Hooper                   | 47.68   | 28.86  | 1.651 |
| 261  | Raman Subba Row               | 41.46   | 25.10  | 1.651 |
| 262  | Aiden Markram                 | 43.59   | 26.43  | 1.649 |
| 263  | Basil Butcher                 | 49.90   | 30.25  | 1.649 |
| 264  | Indika de Saram               | 39.13   | 23.72  | 1.649 |
| 265  | Ali Azmat                     | 38.95   | 23.64  | 1.647 |
| 266  | Jacob Martin                  | 46.65   | 28.32  | 1.647 |
| 267  | VVS Laxman                    | 51.64   | 31.36  | 1.646 |
| 268  | Charles Studd                 | 30.49   | 18.53  | 1.645 |
| 269  | Peter Kirsten                 | 44.46   | 27.04  | 1.644 |
| 270  | Mohammad Yousuf               | 47.96   | 29.18  | 1.643 |
| 271  | Saeed Anwar                   | 45.19   | 27.51  | 1.642 |
| 272  | Ephraim Lockwood              | 23.60   | 14.40  | 1.639 |
| 273  | Jim Burke                     | 45.01   | 27.51  | 1.636 |
| 274  | William Yardley               | 25.77   | 15.76  | 1.635 |
| 275  | Naeemuddin                    | 40.25   | 24.61  | 1.635 |
| 276  | Mathew Sinclair               | 48.64   | 29.76  | 1.634 |
| 277  | Andy Sandham                  | 44.82   | 27.44  | 1.633 |
| 278  | Mahmood Hamid                 | 41.94   | 25.69  | 1.632 |
| 279  | Manohar Hardikar              | 45.46   | 27.85  | 1.632 |
| 280  | AB de Villiers                | 49.71   | 30.47  | 1.631 |
| 281  | Hrishikesh Kanitkar           | 52.26   | 32.06  | 1.629 |
| 282  | Arshad Pervez                 | 39.85   | 24.46  | 1.628 |
| 283  | Sean Williams                 | 44.40   | 27.26  | 1.628 |
| 284  | Syd Curnow                    | 42.08   | 25.84  | 1.628 |
| 285  | Gary Ballance                 | 47.31   | 29.05  | 1.628 |
| 286  | Lee Irvine                    | 40.48   | 24.87  | 1.628 |
| 287  | Mohammad Ramzan               | 39.09   | 24.01  | 1.627 |
| 288  | Desmond Haynes                | 45.90   | 28.20  | 1.627 |
| 289  | Tom Dollery                   | 37.47   | 23.03  | 1.627 |
| 290  | Ricky Bhui                    | 43.32   | 26.63  | 1.626 |
| 291  | Surendra Bhave                | 58.18   | 35.78  | 1.625 |
| 292  | Eddie Paynter                 | 42.26   | 25.99  | 1.625 |
| 293  | Wally Hardinge                | 36.51   | 22.46  | 1.625 |
| 294  | Imran Farhat                  | 42.79   | 26.34  | 1.624 |
| 295  | Percy Tarilton                | 38.56   | 23.75  | 1.623 |
| 296  | Harry Makepeace               | 36.23   | 22.32  | 1.623 |
| 297  | George Hirst                  | 34.13   | 21.03  | 1.622 |
