+-----------------------------+-----------------------------+-------+
| Batter                      | Fielder                     | Count |
| Dilhara Fernando            | Andre Adams                 | 1     |
| Stephen Fleming             | Chamara Kapugedera          | 1     |
| Peter McGlashan             | Tillakaratne Dilshan        | 1     |
| Matthew Hayden              | Jamie Dalrymple             | 1     |
| Ricky Ponting               | Jon Lewis                   | 1     |
| Ed Joyce                    | Mike Hussey                 | 1     |
| Andrew Flintoff             | Cameron White               | 1     |
| Paul Collingwood            | Cameron White               | 1     |
| Mohammad Hafeez             | Morne van Wyk               | 1     |
| Shoaib Malik                | Justin Kemp                 | 1     |
| Shahid Afridi               | Robin Peterson              | 1     |
| Zulqarnain Haider           | Graeme Smith                | 1     |
| Devon Smith                 | Michael Yardy               | 1     |
| Shiv Chanderpaul            | Sir Alastair Cook           | 1     |
| Denesh Ramdin               | Dimitri Mascarenhas         | 1     |
| Sir Alastair Cook           | Dwayne Bravo                | 1     |
| Matt Prior                  | Daren Powell                | 1     |
| Dimitri Mascarenhas         | Runako Morton               | 1     |
| Chris Gayle                 | Stuart Broad                | 1     |
| Lendl Simmons               | Stuart Broad                | 1     |
| Denesh Ramdin               | Paul Collingwood            | 1     |
| David Obuya                 | Farhad Reza                 | 1     |
| Jadavji Jesani              | Syed Rasel                  | 1     |
| Steve Tikolo                | Mahmudullah                 | 1     |
| Tamim Iqbal                 | Collins Obuya               | 1     |
| Nazimuddin                  | Rajesh Bhudia               | 1     |
| Aftab Ahmed                 | Thomas Odoyo                | 1     |
| Mohammad Ashraful           | Thomas Odoyo                | 1     |
| Shoaib Malik                | Mohammad Ashraful           | 1     |
| Shahid Afridi               | Alok Kapali                 | 1     |
| Misbah-ul-Haq               | Aftab Ahmed                 | 1     |
| Kamran Akmal                | Mahmudullah                 | 1     |
| Tamim Iqbal                 | Shahid Afridi               | 1     |
| David Obuya                 | Misbah-ul-Haq               | 1     |
| Jimmy Kamande               | Salman Butt                 | 1     |
| Peter Ongondo               | Abdur Rehman                | 1     |
| Shoaib Malik                | Collins Obuya               | 1     |
| Mohammad Hafeez             | Hiren Varaiya               | 1     |
| Dwayne Smith                | Herschelle Gibbs            | 1     |
| Ramnaresh Sarwan            | AB de Villiers              | 1     |
| Graeme Smith                | Chris Gayle                 | 1     |
| Adam Gilchrist              | Stuart Matsikenyeri         | 1     |
| Ricky Ponting               | Elton Chigumbura            | 1     |
| Brad Haddin                 | Elton Chigumbura            | 1     |
| Nathan Bracken              | Vusimuzi Sibanda            | 1     |
| Tanmay Mishra               | Jacob Oram                  | 1     |
| Thomas Odoyo                | Ross Taylor                 | 1     |
| Nehemiah Odhiambo           | Ross Taylor                 | 1     |
| Lou Vincent                 | David Obuya                 | 1     |
| Salman Butt                 | Majid Haq                   | 1     |
| Imran Nazir                 | Gavin Hamilton              | 1     |
| Younis Khan                 | Fraser Watts                | 1     |
| Shahid Afridi               | Majid Haq                   | 1     |
| Kamran Akmal                | Fraser Watts                | 1     |
| Fraser Watts                | Imran Nazir                 | 1     |
