+--------+-------+-----------------------------------------------------------------------------------------------------+-------------------------------------------------------------------------+------------+
| Letter | Count | Names                                                                                               | Match                                                                   | StartDate  |
| A      | 7     | [Akmal, Aslam, Akmal, Asif, Ali Dar, Ali, Asif]                                                     | Lahore Whites v Federally Administered Tribal Areas                     | 2017-11-17 |
| A      | 7     | [Ali, Amin, Abbas, Ahmed, Aziz, Asghar, Abbas]                                                      | Rawalpindi v Lahore Whites                                              | 2017-11-19 |
| A      | 7     | [Akmal, Akmal, Asif, Aslam, Asif, Ali, Adil]                                                        | Lahore Whites v Peshawar                                                | 2017-11-21 |
| A      | 7     | [Akmal, Akmal, Asif, Aslam, Asif, Ali, Adil]                                                        | Lahore Whites v Islamabad                                               | 2017-11-24 |
| A      | 7     | [Akmal, Aslam, Akmal, Asif, Asif, Ali, Adil]                                                        | Lahore Whites v Lahore Blues                                            | 2017-11-30 |
| S      | 7     | [Singh, Singh, Singh, Singh, Singh, Sharma, Singh]                                                  | Punjab v Delhi                                                          | 2018-01-09 |
| S      | 7     | [Singh, Singh, Singh, Singh, Singh, Sharma, Singh]                                                  | Punjab v Services                                                       | 2018-01-10 |
| S      | 7     | [Singh, Singh, Singh, Singh, Singh, Sran, Sharma]                                                   | Punjab v Haryana                                                        | 2018-01-12 |
| M      | 7     | [Mire, Masakadza, Musakanda, Moor, Mpofu, Masakadza, Muzarabani]                                    | Zimbabwe v Pakistan                                                     | 2018-07-04 |
| M      | 7     | [Mire, Masakadza, Musakanda, Moor, Mavuta, Masakadza, Muzarabani]                                   | Zimbabwe v Australia                                                    | 2018-07-06 |
| M      | 7     | [Mutumbami, Musakanda, Murray, Mutombodzi, Madziva, Mavuta, Magarira]                               | Zimbabwe Select XI v Gauteng                                            | 2018-09-14 |
| M      | 7     | [Mutumbami, Musakanda, Murray, Mutombodzi, Madziva, Mavuta, Magarira]                               | Zimbabwe Select XI v Free State                                         | 2018-09-14 |
| A      | 7     | [Ahmed, Akhtar, Afridi, Amin, Afridi, Afridi, Ahmed]                                                | Federally Administered Tribal Areas v Lahore Blues                      | 2018-12-20 |
| P      | 7     | [Patel, Panchal, Patel, Patel, Patel, Panchal, Patel]                                               | Gujarat v Himachal Pradesh                                              | 2019-02-24 |
| S      | 7     | [Singh, Singh, Singh, Shah, Singh, Sultan, Singh]                                                   | Manipur v Jharkhand                                                     | 2019-02-24 |
| S      | 7     | [Singh, Singh, Shah, Sultan, Singh, Singh, Singh]                                                   | Manipur v Nagaland                                                      | 2019-02-25 |
| H      | 7     | [Haque, Hasan, Haque, Hossain, Hossain, Hossain, Hossain]                                           | Prime Bank Cricket Club v Brothers Union                                | 2019-02-26 |
| H      | 7     | [Hossain, Hasan, Hasanuzzaman, Hossain, Hasan, Haider, Haque]                                       | Sheikh Jamal Dhanmondi Club v Uttara Sporting Club                      | 2019-02-27 |
| S      | 7     | [Singh, Singh, Shah, Singh, Singh, Singh, Singh]                                                    | Manipur v Jammu and Kashmir                                             | 2019-02-28 |
| H      | 7     | [Hossain, Hasan, Hasanuzzaman, Hossain, Hasan, Haider, Haque]                                       | Sheikh Jamal Dhanmondi Club v Shinepukur Cricket Club                   | 2019-03-01 |
| S      | 7     | [Singh, Singh, Singh, Singh, Singh, Sran, Sharma]                                                   | Punjab v Railways                                                       | 2019-03-02 |
| P      | 7     | [Patel, Panchal, Patel, Patel, Patel, Panchal, Patel]                                               | Gujarat v Railways                                                      | 2019-03-11 |
| P      | 7     | [Patel, Panchal, Patel, Patel, Panchal, Patel, Parmar]                                              | Gujarat v Bengal                                                        | 2019-03-12 |
| M      | 7     | [Masvaure, Mire, Moor, Moor, Madziva, Mavuta, Mumba]                                                | Rhinos v Mountaineers                                                   | 2019-03-13 |
| M      | 7     | [Masvaure, Mire, Moor, Moor, Madziva, Mavuta, Mumba]                                                | Rhinos v Eagles                                                         | 2019-03-14 |
| M      | 7     | [Masvaure, Mire, Moor, Mayavo, Madziva, Masike, Mumba]                                              | Rhinos v Tuskers                                                        | 2019-03-15 |
| M      | 7     | [Mudzinganyama, Musakanda, Mutumbami, Mutombodzi, Munyonga, Mambo, Mufudza]                         | Eagles v Rhinos                                                         | 2019-03-17 |
| A      | 7     | [Azam, Akmal, Ahmed, Ahmed, Ali, Ashraf, Aamer]                                                     | Pakistan v Sri Lanka                                                    | 2019-10-05 |
| S      | 7     | [Singh, Singh, Singh, Sultan, Sedai, Singh, Singh]                                                  | Manipur v Rajasthan                                                     | 2019-11-08 |
| S      | 7     | [Singh, Singh, Singh, Sedai, Sultan, Singh, Singh]                                                  | Manipur v Tripura                                                       | 2019-11-09 |
| S      | 7     | [Singh, Singh, Singh, Sedai, Sultan, Singh, Singh]                                                  | Manipur v Vidarbha                                                      | 2019-11-11 |
| P      | 7     | [Patel, Panchal, Patel, Patel, Patel, Patel, Parmar]                                                | Gujarat v Nagaland                                                      | 2019-11-12 |
| S      | 7     | [Sharma, Singh, Singh, Singh, Singh, Sharma, Singh]                                                 | Punjab v Railways                                                       | 2019-11-14 |
| D      | 7     | [Das, Das, Das, Das, Das, Das, Das]                                                                 | Assam v Hyderabad                                                       | 2021-01-10 |
| D      | 7     | [Das, Das, Das, Das, Das, Das, Das]                                                                 | Assam v Tamil Nadu                                                      | 2021-01-12 |
| M      | 7     | [Masvaure, Musakanda, Madziva, Musekiwa, Mpofu, Mumba, Mavuta]                                      | Rhinos v Southern Rocks                                                 | 2021-04-11 |
| M      | 7     | [Mudzinganyama, Marumani, Mutumbami, Mashinge, Mambo, Mutsamba, Muzarabani]                         | Southern Rocks v Rhinos                                                 | 2021-04-11 |
| M      | 7     | [Mudzinganyama, Marumani, Mutumbami, Muzarabani, Mashinge, Mambo, Mutsamba]                         | Southern Rocks v Tuskers                                                | 2021-04-12 |
| M      | 7     | [Mudzinganyama, Marumani, Mutumbami, Mashinge, Mambo, Muzarabani, Mutsamba]                         | Southern Rocks v Mountaineers                                           | 2021-04-13 |
| S      | 7     | [Singh, Sharma, Singh, Singh, Singh, Singh, Singh]                                                  | Punjab v Puducherry                                                     | 2021-11-04 |
| S      | 7     | [Singh, Sharma, Singh, Singh, Singh, Singh, Singh]                                                  | Punjab v Maharashtra                                                    | 2021-11-05 |
| S      | 7     | [Singh, Sharma, Singh, Singh, Singh, Singh, Singh]                                                  | Punjab v Goa                                                            | 2021-11-06 |
| S      | 7     | [Sai Kishore, Sai Sudharsan, Shankar, Sanjay Yadav, Shahrukh Khan, Saravana Kumar, Silambarasan]    | Tamil Nadu v Goa                                                        | 2021-11-08 |
| S      | 7     | [Singh, Sharma, Singh, Singh, Singh, Singh, Singh]                                                  | Punjab v Orissa                                                         | 2021-11-08 |
| S      | 7     | [Singh, Sharma, Singh, Singh, Singh, Singh, Singh]                                                  | Punjab v Tamil Nadu                                                     | 2021-11-09 |
| S      | 7     | [Sai Sudharsan, Shankar, Sanjay Yadav, Shahrukh Khan, Sai Kishore, Sandeep Warrier, Saravana Kumar] | Tamil Nadu v Kerala                                                     | 2021-11-18 |
| S      | 7     | [Sai Sudharsan, Shankar, Sandeep Warrier, Saravana Kumar, Sai Kishore, Sanjay Yadav, Shahrukh Khan] | Tamil Nadu v Hyderabad                                                  | 2021-11-20 |
| S      | 6     | [Shiroman, Sandaruwan, Silva, Siriwardene, Seneviratne, Silva]                                      | Sebastianites Cricket and Athletic Club v Kurunegala Youth Cricket Club | 2004-08-17 |
| A      | 6     | [Asad, Ashraf, Ahmed, Akhtar, Aziz, Anjum]                                                          | Rawalpindi Rams v Quetta Bears                                          | 2005-04-25 |
| A      | 6     | [Akmal, Ahmed, Arsal, Ahmed, Azmat, Ahmed]                                                          | Lahore Eagles v Karachi Zebras                                          | 2005-04-27 |
| A      | 6     | [Asad, Ashraf, Aziz, Akhtar, Anjum, Ahmed]                                                          | Rawalpindi Rams v Faisalabad Wolves                                     | 2005-04-28 |
| A      | 6     | [Ali, Akmal, Ahmed, Ahmed, Azmat, Ahmed]                                                            | Lahore Eagles v Karachi Dolphins                                        | 2005-04-29 |
| A      | 6     | [Ahmed, Ahmed, Akmal, Ahmed, Azmat, Ali]                                                            | Lahore Eagles v Faisalabad Wolves                                       | 2005-04-29 |
| A      | 6     | [Alam, Amin-ur-Rehman, Ahmed, Ayaz, Ali, Aftab]                                                     | Karachi Dolphins v Faisalabad Wolves                                    | 2005-04-29 |
| A      | 6     | [Alam, Ali, Amin-ur-Rehman, Ayaz, Ahmed, Aftab]                                                     | Karachi Dolphins v Faisalabad Wolves                                    | 2005-04-30 |
| A      | 6     | [Asad, Ashraf, Altaf, Anjum, Ahmed, Altaf]                                                          | Islamabad Leopards v Abbottabad Rhinos                                  | 2006-02-24 |
| A      | 6     | [Asad, Altaf, Akbar, Ahmed, Altaf, Anjum]                                                           | Islamabad Leopards v Karachi Dolphins                                   | 2006-02-25 |
| A      | 6     | [Asad, Ashraf, Altaf, Anjum, Akbar, Ahmed]                                                          | Islamabad Leopards v Quetta Bears                                       | 2006-02-28 |
| A      | 6     | [Ashraf, Asad, Akhtar, Anjum, Ahmed, Anjum]                                                         | Islamabad Leopards v Peshawar Panthers                                  | 2006-12-23 |
| S      | 6     | [Sohal, Sodhi, Sharma, Singh, Singh, Sharma]                                                        | Punjab v Haryana                                                        | 2007-04-03 |
