+--------------------------------------------------------------------+-------+------+------+------+--------+
| Player                                                             | Count | Wins | Loss | Tied | Others |
| [DB Vengsarkar, GR Viswanath, Kapil Dev, Yashpal Sharma]           | 27    | 5    | 3    | 0    | 19     |
| [CG Greenidge, CH Lloyd, DL Haynes, PJL Dujon]                     | 27    | 17   | 1    | 0    | 9      |
| [CG Greenidge, CH Lloyd, IVA Richards, PJL Dujon]                  | 27    | 17   | 1    | 0    | 9      |
| [AL Logie, CL Hooper, DL Haynes, RB Richardson]                    | 27    | 11   | 6    | 0    | 10     |
| [AC Gilchrist, JL Langer, ME Waugh, RT Ponting]                    | 27    | 21   | 3    | 0    | 3      |
| [DPMD Jayawardene, MS Atapattu, ST Jayasuriya, TM Dilshan]         | 27    | 11   | 9    | 0    | 7      |
| [AC Gilchrist, DR Martyn, JL Langer, SR Waugh]                     | 27    | 19   | 3    | 0    | 5      |
| [DPMD Jayawardene, KC Sangakkara, ST Jayasuriya, TM Dilshan]       | 27    | 12   | 9    | 0    | 6      |
| [HH Gibbs, JH Kallis, ND McKenzie, SM Pollock]                     | 27    | 12   | 8    | 0    | 7      |
| [DR Martyn, ML Hayden, RT Ponting, SR Waugh]                       | 27    | 19   | 3    | 0    | 5      |
| [AC Gilchrist, DR Martyn, RT Ponting, SR Waugh]                    | 27    | 19   | 3    | 0    | 5      |
| [AG Prince, HH Gibbs, JH Kallis, MV Boucher]                       | 27    | 15   | 10   | 0    | 2      |
| [AG Prince, GC Smith, HH Gibbs, MV Boucher]                        | 27    | 16   | 8    | 0    | 3      |
| [G Gambhir, MS Dhoni, V Sehwag, VVS Laxman]                        | 27    | 10   | 7    | 0    | 10     |
| [G Gambhir, MS Dhoni, RS Dravid, VVS Laxman]                       | 27    | 9    | 8    | 0    | 10     |
| [AN Cook, IR Bell, MJ Prior, PD Collingwood]                       | 27    | 10   | 7    | 0    | 10     |
| [BJ Haddin, MJ Clarke, RT Ponting, SM Katich]                      | 27    | 13   | 8    | 0    | 6      |
| [BJ Haddin, MEK Hussey, MJ Clarke, SM Katich]                      | 27    | 13   | 8    | 0    | 6      |
| [BF Butcher, CC Hunte, GS Sobers, RB Kanhai]                       | 26    | 13   | 5    | 0    | 8      |
| [Imran Khan, Javed Miandad, Majid Khan, Zaheer Abbas]              | 26    | 9    | 7    | 0    | 10     |
| [CL Hooper, DL Haynes, IVA Richards, PJL Dujon]                    | 26    | 12   | 6    | 0    | 8      |
| [M Azharuddin, M Prabhakar, NS Sidhu, SR Tendulkar]                | 26    | 9    | 5    | 0    | 12     |
| [GS Blewett, ME Waugh, MJ Slater, SR Waugh]                        | 26    | 16   | 7    | 0    | 3      |
