+------+--------------------------+---------+--------+-------+
| Rank | Batsman                  | Average | Others | Ratio |
| 240  | Tom Latham               | 35.65   | 30.30  | 1.176 |
| 241  | Henry Nicholls           | 35.40   | 30.16  | 1.173 |
| 242  | Regan West               | 30.50   | 25.99  | 1.173 |
| 243  | Alex Obanda              | 30.37   | 25.94  | 1.170 |
| 244  | Grant Elliott            | 34.06   | 29.11  | 1.170 |
| 245  | Richie Berrington        | 31.05   | 26.57  | 1.168 |
| 246  | Ben Stokes               | 40.43   | 34.66  | 1.166 |
| 247  | Andrew Flintoff          | 32.01   | 27.52  | 1.163 |
| 248  | Virender Sehwag          | 35.05   | 30.15  | 1.162 |
| 249  | Mark Taylor              | 32.23   | 27.73  | 1.162 |
| 250  | Scott Styris             | 32.48   | 28.03  | 1.158 |
| 251  | Alec Stewart             | 31.60   | 27.28  | 1.158 |
| 252  | Graeme Fowler            | 31.00   | 26.77  | 1.157 |
| 253  | Mohinder Amarnath        | 30.53   | 26.40  | 1.156 |
| 254  | Simon Katich             | 35.78   | 30.95  | 1.155 |
| 255  | William Porterfield      | 30.58   | 26.47  | 1.155 |
| 256  | Samiullah Shenwari       | 29.20   | 25.29  | 1.154 |
| 257  | Jos Buttler              | 38.72   | 33.56  | 1.153 |
| 258  | Younis Khan              | 31.24   | 27.12  | 1.152 |
| 259  | Mike Denness             | 29.33   | 25.55  | 1.147 |
| 260  | Phillip Hughes           | 35.91   | 31.30  | 1.147 |
| 261  | Travis Head              | 36.57   | 31.93  | 1.145 |
| 262  | Derek Randall            | 26.67   | 23.32  | 1.143 |
| 263  | Roland Lefebvre          | 28.50   | 24.93  | 1.142 |
| 264  | Faoud Bacchus            | 26.60   | 23.29  | 1.142 |
| 265  | Shaiman Anwar            | 31.25   | 27.37  | 1.141 |
| 266  | Jeremy Bray              | 28.64   | 25.09  | 1.141 |
| 267  | Preston Mommsen          | 30.97   | 27.14  | 1.141 |
| 268  | Barney Rogers            | 31.86   | 27.95  | 1.140 |
| 269  | Nasser Hussain           | 30.28   | 26.59  | 1.138 |
| 270  | Athar Ali Khan           | 29.55   | 25.98  | 1.137 |
| 271  | Peter Fulton             | 32.53   | 28.60  | 1.137 |
| 272  | Mohammad Hafeez          | 32.90   | 29.00  | 1.134 |
| 273  | Vinod Kambli             | 32.59   | 28.73  | 1.134 |
| 274  | Eric Szwarczynski        | 29.78   | 26.32  | 1.131 |
| 275  | Abdool Samad             | 29.60   | 26.17  | 1.130 |
| 276  | Zakir Khan               | 27.00   | 23.91  | 1.128 |
| 277  | Marlon Samuels           | 32.97   | 29.24  | 1.127 |
| 278  | Azhar Ali                | 36.90   | 32.72  | 1.127 |
| 279  | Jason Roy                | 40.19   | 35.65  | 1.127 |
| 280  | Abdul Razzaq             | 29.70   | 26.36  | 1.126 |
| 281  | Bill Athey               | 31.40   | 27.87  | 1.126 |
| 282  | Fraser Watts             | 28.64   | 25.43  | 1.126 |
| 283  | Steve Tikolo             | 29.05   | 25.80  | 1.125 |
| 284  | Chundangapoyil Rizwan    | 27.94   | 24.83  | 1.125 |
| 285  | Bruce Laird              | 29.70   | 26.45  | 1.122 |
| 286  | Lahiru Thirimanne        | 34.71   | 30.92  | 1.122 |
| 287  | Ken Rutherford           | 29.65   | 26.43  | 1.121 |
| 288  | Phil Simmons             | 28.93   | 25.81  | 1.120 |
| 289  | Chirag Suri              | 26.60   | 23.75  | 1.120 |
| 290  | Chamara Silva            | 28.85   | 25.77  | 1.119 |
| 291  | Imran Farhat             | 30.69   | 27.42  | 1.119 |
| 292  | Jesse Ryder              | 33.21   | 29.69  | 1.118 |
| 293  | Cameron White            | 33.96   | 30.36  | 1.118 |
| 294  | Zeeshan Maqsood          | 28.96   | 25.90  | 1.118 |
| 295  | Roy Dias                 | 31.46   | 28.16  | 1.117 |
