+--------+---------------------------+-------+-----+----------------------------+------------+-----------------------------------------------------------------+
| Match# | Player                    | BBI   | HS  | Match                      | StartDate  | Venue                                                           |
| 2      | Ed Giddins                | 5/15  | 7   | England v Zimbabwe         | 2000-05-18 | Lord's Cricket Ground, St John's Wood                           |
| 2      | Mahendra Nagamootoo       | 3/119 | 68  | West Indies v Australia    | 2001-01-02 | Sydney Cricket Ground, Sydney                                   |
| 2      | Sujeewa de Silva          | 4/35  | 5   | Sri Lanka v Bangladesh     | 2002-07-28 | Sinhalese Sports Club Ground, Colombo                           |
| 2      | Alan Dawson               | 2/20  | 10  | South Africa v Bangladesh  | 2003-05-01 | Bangabandhu National Stadium, Dhaka                             |
| 2      | Gavin Ewing               | 1/27  | 71  | Zimbabwe v Bangladesh      | 2004-02-19 | Harare Sports Club, Harare                                      |
| 2      | Rikki Clarke              | 2/7   | 55  | England v Bangladesh       | 2003-10-29 | MA Aziz Stadium, Chittagong                                     |
| 2      | Tareq Aziz                | 1/76  | 10  | Bangladesh v West Indies   | 2004-06-04 | Sabina Park, Kingston                                           |
| 2      | Nazmul Hossain            | 2/61  | 8   | Bangladesh v Pakistan      | 2011-12-17 | Shere Bangla National Stadium, Mirpur                           |
| 2      | Keith Dabengwa            | 3/127 | 35  | Zimbabwe v India           | 2005-09-13 | Queens Sports Club, Bulawayo                                    |
| 2      | Ryan Austin               | 1/29  | 19  | West Indies v Bangladesh   | 2009-07-17 | Queen's Park (New), St George's                                 |
| 2      | Jaydev Unadkat            | 2/50  | 14  | India v Bangladesh         | 2022-12-22 | Shere Bangla National Stadium, Mirpur                           |
| 2      | Michael Beer              | 2/56  | 2   | Australia v West Indies    | 2012-04-15 | Queen's Park Oval, Port of Spain                                |
| 2      | Varun Aaron               | 3/97  | 9   | India v England            | 2014-08-07 | Emirates Old Trafford, Manchester                               |
| 2      | Milinda Siriwardene       | 3/25  | 68  | Sri Lanka v West Indies    | 2015-10-22 | P Sara Oval, Colombo                                            |
| 2      | Jake Ball                 | 1/47  | 31  | England v India            | 2016-12-08 | Wankhede Stadium, Mumbai                                        |
| 2      | Rachin Ravindra           | 3/56  | 18  | New Zealand v India        | 2021-12-03 | Wankhede Stadium, Mumbai                                        |
| 1      | Tom Kendall               | 7/55  | 17  | Australia v England        | 1877-03-15 | Melbourne Cricket Ground, Melbourne                             |
| 1      | John Hodges               | 2/7   | 8   | Australia v England        | 1877-03-15 | Melbourne Cricket Ground, Melbourne                             |
| 1      | Sandford Schultz          | 1/16  | 20  | England v Australia        | 1879-01-02 | Melbourne Cricket Ground, Melbourne                             |
| 1      | Frank Allan               | 2/30  | 5   | Australia v England        | 1879-01-02 | Melbourne Cricket Ground, Melbourne                             |
| 1      | George Alexander          | 2/69  | 33  | Australia v England        | 1880-09-06 | Kennington Oval, Kennington                                     |
| 1      | William Moule             | 3/23  | 34  | Australia v England        | 1880-09-06 | Kennington Oval, Kennington                                     |
| 1      | William Cooper            | 6/120 | 7   | Australia v England        | 1881-12-31 | Melbourne Cricket Ground, Melbourne                             |
| 1      | Stanley Christopherson    | 1/52  | 17  | England v Australia        | 1884-07-21 | Lord's Cricket Ground, St John's Wood                           |
| 1      | Sam Morris                | 2/73  | 10  | Australia v England        | 1885-01-01 | Melbourne Cricket Ground, Melbourne                             |
| 1      | Albert Rose-Innes         | 5/43  | 13  | South Africa v England     | 1889-03-12 | St George's Park, Port Elizabeth                                |
| 1      | Gus Kempis                | 3/53  | 0   | South Africa v England     | 1889-03-12 | St George's Park, Port Elizabeth                                |
| 1      | Aubrey Smith              | 5/19  | 3   | England v South Africa     | 1889-03-12 | St George's Park, Port Elizabeth                                |
| 1      | Arnold Fothergill         | 4/19  | 32  | England v South Africa     | 1889-03-12 | St George's Park, Port Elizabeth                                |
| 1      | Gobo Ashley               | 7/95  | 1   | South Africa v England     | 1889-03-25 | Newlands, Cape Town                                             |
| 1      | Bob McLeod                | 5/53  | 31  | Australia v England        | 1892-01-01 | Melbourne Cricket Ground, Melbourne                             |
| 1      | Charles Mills             | 2/83  | 21  | South Africa v England     | 1892-03-19 | Newlands, Cape Town                                             |
| 1      | Dante Parkin              | 3/82  | 6   | South Africa v England     | 1892-03-19 | Newlands, Cape Town                                             |
| 1      | Flooi du Toit             | 1/47  | 2   | South Africa v England     | 1892-03-19 | Newlands, Cape Town                                             |
| 1      | Dick Pougher              | 3/26  | 17  | England v South Africa     | 1892-03-19 | Newlands, Cape Town                                             |
| 1      | John Reedman              | 1/12  | 17  | Australia v England        | 1894-12-14 | Sydney Cricket Ground, Sydney                                   |
| 1      | Francis Ford              | 1/47  | 48  | England v Australia        | 1894-12-14 | Sydney Cricket Ground, Sydney                                   |
| 1      | Arthur Coningham          | 2/17  | 10  | Australia v England        | 1894-12-29 | Melbourne Cricket Ground, Melbourne                             |
| 1      | Charles Hime              | 1/20  | 8   | South Africa v England     | 1896-02-13 | St George's Park, Port Elizabeth                                |
