+--------------------------+----------------------------+------------+-----------------------------------------------------------------+
| Batsman-Runs             | Match                      | StartDate  | Venue                                                           |
| Brian Booth-112          | Australia v England        | 1962-11-30 | Brisbane Cricket Ground, Woolloongabba, Brisbane                |
| Yuvraj Singh-112         | India v Pakistan           | 2004-04-05 | Gaddafi Stadium, Lahore                                         |
| Prasanna Jayawardene-112 | Sri Lanka v England        | 2011-05-26 | The SWALEC Stadium, Cardiff                                     |
| Jermaine Blackwood-112   | West Indies v England      | 2015-04-13 | Sir Vivian Richards Stadium, North Sound                        |
| Ben Stokes-112           | England v South Africa     | 2017-07-27 | The Kia Oval, Kennington                                        |
| Jack Russell-111         | England v South Africa     | 1923-02-16 | Kingsmead, Durban                                               |
| Jeremy Coney-111         | New Zealand v Pakistan     | 1985-02-09 | Carisbrook, Dunedin                                             |
| Arjuna Ranatunga-111     | Sri Lanka v India          | 1985-08-30 | Sinhalese Sports Club Ground, Colombo                           |
| Hanuma Vihari-111        | India v West Indies        | 2019-08-30 | Sabina Park, Kingston                                           |
| Garry Sobers-110         | West Indies v Australia    | 1969-01-24 | Adelaide Oval, Adelaide                                         |
| Tony Greig-110           | England v Australia        | 1974-11-29 | Brisbane Cricket Ground, Woolloongabba, Brisbane                |
| Marcus North-110         | Australia v England        | 2009-08-07 | Headingley, Leeds                                               |
| Gulabrai Ramchand-109    | India v Australia          | 1956-10-26 | Brabourne Stadium, Bombay                                       |
| Alimuddin-109            | Pakistan v England         | 1962-02-02 | National Stadium, Karachi                                       |
| Gary Cosier-109          | Australia v West Indies    | 1975-12-26 | Melbourne Cricket Ground, Melbourne                             |
| Imran Khan-109           | Pakistan v India           | 1989-11-15 | National Stadium, Karachi                                       |
| Dhananjaya de Silva-109  | Sri Lanka v New Zealand    | 2019-08-22 | P Sara Oval, Colombo                                            |
| Fawad Alam-109           | Pakistan v South Africa    | 2021-01-26 | National Stadium, Karachi                                       |
| Sanjay Manjrekar-108     | India v West Indies        | 1989-04-07 | Kensington Oval, Bridgetown                                     |
| Lance Klusener-108       | South Africa v India       | 2001-11-03 | Goodyear Park, Bloemfontein                                     |
| Doug Walters-107         | Australia v New Zealand    | 1980-12-26 | Melbourne Cricket Ground, Melbourne                             |
| Neil Johnson-107         | Zimbabwe v Pakistan        | 1998-11-27 | Arbab Niaz Stadium, Peshawar                                    |
| Craig McMillan-107       | New Zealand v England      | 1999-08-05 | Old Trafford, Manchester                                        |
| Mohammad Azharuddin-106  | India v Australia          | 1992-01-25 | Adelaide Oval, Adelaide                                         |
| Allan Border-106         | Australia v Sri Lanka      | 1992-09-08 | Tyronne Fernando Stadium, Moratuwa                              |
| Grant Flower-106         | Zimbabwe v India           | 2000-11-25 | Vidarbha Cricket Association Ground, Nagpur                     |
| Jos Buttler-106          | England v India            | 2018-08-18 | Trent Bridge, Nottingham                                        |
| Roston Chase-106         | West Indies v India        | 2018-10-12 | Rajiv Gandhi International Stadium, Uppal, Hyderabad            |
| Viv Richards-105         | West Indies v New Zealand  | 1985-04-26 | Kensington Oval, Bridgetown                                     |
| Ricky Ponting-105        | Australia v South Africa   | 1997-12-26 | Melbourne Cricket Ground, Melbourne                             |
| Andy Flower-105          | Zimbabwe v Sri Lanka       | 1998-01-14 | Sinhalese Sports Club Ground, Colombo                           |
| Ricky Ponting-105        | Australia v Sri Lanka      | 1999-09-30 | Sinhalese Sports Club Ground, Colombo                           |
| Angelo Mathews-105       | Sri Lanka v Australia      | 2011-09-16 | Sinhalese Sports Club Ground, Colombo                           |
| Doug Walters-104         | Australia v New Zealand    | 1974-03-22 | Eden Park, Auckland                                             |
| Peter Kirsten-104        | South Africa v England     | 1994-08-04 | Headingley, Leeds                                               |
| Dwayne Bravo-104         | West Indies v Australia    | 2009-12-04 | Adelaide Oval, Adelaide                                         |
| Alan Melville-103        | South Africa v England     | 1939-03-03 | Kingsmead, Durban                                               |
| Brian Booth-103          | Australia v England        | 1962-12-29 | Melbourne Cricket Ground, Melbourne                             |
| Tony Greig-103           | England v India            | 1977-01-01 | Eden Gardens, Calcutta                                          |
| Sir Ian Botham-103       | England v New Zealand      | 1983-08-25 | Trent Bridge, Nottingham                                        |
| Sir Clive Lloyd-103      | West Indies v India        | 1983-10-29 | Feroz Shah Kotla, Delhi                                         |
| Pravin Amre-103          | India v South Africa       | 1992-11-13 | Kingsmead, Durban                                               |
| Hashan Tillakaratne-103  | Sri Lanka v Pakistan       | 1997-04-19 | R Premadasa Stadium, Colombo                                    |
| Mohammad Azharuddin-103  | India v New Zealand        | 1998-12-26 | Basin Reserve, Wellington                                       |
| Scott Styris-103         | New Zealand v West Indies  | 2006-03-09 | Eden Park, Auckland                                             |
| Pathum Nissanka-103      | Sri Lanka v West Indies    | 2021-03-21 | Sir Vivian Richards Stadium, North Sound                        |
| Sir Clive Lloyd-102      | West Indies v Australia    | 1975-12-26 | Melbourne Cricket Ground, Melbourne                             |
| Ravi Shastri-102         | India v West Indies        | 1983-04-28 | Antigua Recreation Ground, St John's                            |
| Greg Blewett-102         | Australia v England        | 1995-01-26 | Adelaide Oval, Adelaide                                         |
| Nathan Astle-102         | New Zealand v England      | 1997-01-24 | Eden Park, Auckland                                             |
| Andrew Flintoff-102      | England v West Indies      | 2004-04-10 | Antigua Recreation Ground, St John's                            |
| Andrew Flintoff-102      | England v Australia        | 2005-08-25 | Trent Bridge, Nottingham                                        |
| Sourav Ganguly-102       | India v Australia          | 2008-10-17 | Punjab Cricket Association Stadium, Mohali                      |
| Matthew Wade-102         | Australia v Sri Lanka      | 2013-01-03 | Sydney Cricket Ground, Sydney                                   |
| Mushtaq Mohammad-101     | Pakistan v India           | 1961-02-08 | Feroz Shah Kotla, Delhi                                         |
| Motganhalli Jaisimha-101 | India v Australia          | 1968-01-19 | Brisbane Cricket Ground, Woolloongabba, Brisbane                |
| Sir Clive Lloyd-101      | West Indies v England      | 1980-07-10 | Old Trafford, Manchester                                        |
| Inzamam-ul-Haq-101       | Pakistan v Zimbabwe        | 1995-02-15 | Harare Sports Club, Harare                                      |
| Rishabh Pant-101         | India v England            | 2021-03-04 | Sardar Patel Stadium, Motera, Ahmedabad                         |
| Javed Miandad-100        | Pakistan v India           | 1978-11-14 | National Stadium, Karachi                                       |
| Allan Border-100         | Australia v West Indies    | 1984-03-16 | Queen's Park Oval, Port of Spain                                |
| Brian McMillan-100       | South Africa v England     | 1995-11-30 | New Wanderers Stadium, Johannesburg                             |
| Shiv Chanderpaul-100     | West Indies v Australia    | 2003-04-10 | Bourda, Georgetown                                              |
| Shakib Al Hasan-100      | Bangladesh v New Zealand   | 2010-02-15 | Seddon Park, Hamilton                                           |
