+------------------------------+---------+-------+---------+-----+-----+---------+----------+---------+-------+------------+---------+-----------+
| Batsman                      | Matches | Runs  | Innings | Nos | HS  | Average | Hundreds | Fifties | Balls | SR         | Catches | Stumpings |
| Liam Plunkett                | 36      | 1241  | 51      | 7   | 126 | 28.20   | 1        | 7       | 1795  | 69.13      | 6       | 0         |
| Bill Athey                   | 151     | 6320  | 246     | 21  | 134 | 28.08   | 10       | 31      | 0     | -          | 11      | 0         |
| Christopher Elstub           | 6       | 28    | 7       | 6   | 18  | 28.00   | 0        | 0       | 73    | 38.35      | 0       | 0         |
| Travis Head                  | 1       | 56    | 2       | 0   | 54  | 28.00   | 0        | 1       | 98    | 57.14      | 0       | 0         |
| Paul Grayson                 | 52      | 1958  | 80      | 10  | 100 | 27.97   | 1        | 12      | 456   | 429.38     | 6       | 0         |
| Ray Illingworth              | 496     | 14986 | 668     | 131 | 162 | 27.90   | 14       | 66      | 0     | -          | 4       | 0         |
| Jason Gillespie              | 26      | 640   | 34      | 11  | 123 | 27.82   | 1        | 0       | 1607  | 39.82      | 0       | 0         |
| Michael Foster               | 5       | 165   | 7       | 1   | 63  | 27.50   | 0        | 1       | 24    | 687.50     | 0       | 0         |
| Ken Taylor                   | 303     | 12864 | 505     | 35  | 203 | 27.37   | 16       | 68      | 0     | -          | 0       | 0         |
| John Tunnicliffe             | 474     | 19476 | 772     | 57  | 243 | 27.23   | 22       | 104     | 0     | -          | 0       | 0         |
| Ben Wilson                   | 185     | 8053  | 308     | 12  | 208 | 27.20   | 15       | 35      | 0     | -          | 0       | 0         |
| Gavin Hamilton               | 73      | 2228  | 100     | 18  | 125 | 27.17   | 1        | 14      | 3483  | 63.96      | 0       | 0         |
| Frank Greenwood              | 57      | 1558  | 66      | 8   | 104 | 26.86   | 1        | 9       | 0     | -          | 0       | 0         |
| Neil Nicholson               | 5       | 134   | 8       | 3   | 56  | 26.80   | 0        | 1       | 0     | -          | 0       | 0         |
| Geoffrey Keighley            | 35      | 1227  | 51      | 5   | 110 | 26.67   | 1        | 6       | 0     | -          | 0       | 0         |
| Dickie Bird                  | 14      | 613   | 25      | 2   | 181 | 26.65   | 1        | 3       | 0     | -          | 1       | 0         |
| David Bairstow               | 429     | 12985 | 601     | 113 | 145 | 26.60   | 9        | 67      | 776   | 1673.32    | 0       | 0         |
| Keshav Maharaj               | 5       | 239   | 9       | 0   | 85  | 26.55   | 0        | 2       | 259   | 92.27      | 2       | 0         |
| Ismail Dawood                | 20      | 636   | 31      | 7   | 75  | 26.50   | 0        | 3       | 1271  | 50.03      | 3       | 0         |
| Dominic Bess                 | 31      | 1054  | 44      | 4   | 91  | 26.35   | 0        | 7       | 2200  | 47.90      | 2       | 0         |
| Gerald Smithson              | 39      | 1449  | 60      | 5   | 169 | 26.34   | 2        | 5       | 0     | -          | 5       | 0         |
| Richard Kettleborough        | 13      | 446   | 19      | 2   | 108 | 26.23   | 1        | 2       | 637   | 70.01      | 0       | 0         |
| Cyril Turner                 | 200     | 6132  | 266     | 32  | 130 | 26.20   | 2        | 36      | 0     | -          | 0       | 0         |
| Billy Sutcliffe              | 177     | 6247  | 273     | 34  | 181 | 26.13   | 6        | 27      | 0     | -          | 0       | 0         |
| Andrew Hodd                  | 55      | 1803  | 79      | 10  | 96  | 26.13   | 0        | 14      | 3390  | 53.18      | 11      | 1         |
| Ajmal Shahzad                | 45      | 1145  | 58      | 14  | 88  | 26.02   | 0        | 3       | 2737  | 41.83      | 1       | 0         |
| Dick Sheepshanks             | 1       | 26    | 1       | 0   | 26  | 26.00   | 0        | 0       | 0     | -          | 0       | 0         |
| Matthew Revis                | 10      | 310   | 15      | 3   | 53  | 25.83   | 0        | 2       | 782   | 39.64      | 0       | 0         |
| Cheteshwar Pujara            | 10      | 436   | 18      | 1   | 133 | 25.64   | 1        | 1       | 1008  | 43.25      | 1       | 0         |
| Clem Wilson                  | 8       | 256   | 13      | 3   | 91  | 25.60   | 0        | 1       | 0     | -          | 4       | 0         |
