+------------------------------+---------+-------+---------+-----+-----+---------+----------+---------+-------+------------+---------+-----------+
| Batsman                      | Matches | Runs  | Innings | Nos | HS  | Average | Hundreds | Fifties | Balls | SR         | Catches | Stumpings |
| Alfred Goulder               | 2       | 3     | 1       | 0   | 3   | 3.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Derek Monks                  | 1       | 3     | 1       | 0   | 3   | 3.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Oliver Hannon-Dalby          | 24      | 45    | 25      | 10  | 11  | 3.00    | 0        | 0       | 394   | 11.42      | 0       | 0         |
| Benjamin Lister              | 6       | 26    | 10      | 1   | 6   | 2.88    | 0        | 0       | 0     | -          | 0       | 0         |
| R Wheatley                   | 2       | 8     | 4       | 1   | 5   | 2.66    | 0        | 0       | 0     | -          | 0       | 0         |
| James Shaw                   | 3       | 8     | 3       | 0   | 7   | 2.66    | 0        | 0       | 0     | -          | 0       | 0         |
| Barry Stead                  | 2       | 8     | 3       | 0   | 8   | 2.66    | 0        | 0       | 0     | -          | 2       | 0         |
| EB Kaye                      | 1       | 5     | 2       | 0   | 5   | 2.50    | 0        | 0       | 0     | -          | 0       | 0         |
| Herbert Robinson             | 1       | 5     | 2       | 0   | 4   | 2.50    | 0        | 0       | 0     | -          | 0       | 0         |
| Wilfred Broadhead            | 1       | 5     | 2       | 0   | 3   | 2.50    | 0        | 0       | 0     | -          | 0       | 0         |
| Syd Buller                   | 1       | 5     | 2       | 0   | 3   | 2.50    | 0        | 0       | 0     | -          | 9       | 3         |
| John Hampshire               | 3       | 5     | 2       | 0   | 5   | 2.50    | 0        | 0       | 0     | -          | 0       | 0         |
| Imran Tahir                  | 1       | 5     | 2       | 0   | 5   | 2.50    | 0        | 0       | 8     | 62.50      | 1       | 0         |
| William Harrison             | 3       | 12    | 6       | 1   | 7   | 2.40    | 0        | 0       | 0     | -          | 0       | 0         |
| William Slinn                | 15      | 45    | 24      | 5   | 11  | 2.36    | 0        | 0       | 0     | -          | 0       | 0         |
| Mark Broadhurst              | 5       | 7     | 3       | 0   | 6   | 2.33    | 0        | 0       | 0     | -          | 0       | 0         |
| Shannon Gabriel              | 2       | 7     | 3       | 0   | 5   | 2.33    | 0        | 0       | 24    | 29.16      | 0       | 0         |
| George Deyes                 | 17      | 44    | 24      | 4   | 12  | 2.20    | 0        | 0       | 0     | -          | 0       | 0         |
| W Wilson                     | 2       | 6     | 4       | 1   | 3   | 2.00    | 0        | 0       | 0     | -          | 0       | 0         |
| George Dallas                | 1       | 2     | 1       | 0   | 2   | 2.00    | 0        | 0       | 0     | -          | 1       | 0         |
| Thomas Hayward               | 1       | 4     | 2       | 0   | 2   | 2.00    | 0        | 0       | 0     | -          | 6       | 0         |
| George Lynas                 | 2       | 4     | 3       | 1   | 4   | 2.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Ralph Crookes                | 1       | 2     | 2       | 1   | 2   | 2.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Thomas Brackin               | 3       | 12    | 6       | 0   | 9   | 2.00    | 0        | 0       | 0     | -          | 0       | 0         |
| William Dyson                | 2       | 8     | 4       | 0   | 6   | 2.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Ernest Foster                | 1       | 2     | 1       | 0   | 2   | 2.00    | 0        | 0       | 0     | -          | 0       | 0         |
| William Brown                | 2       | 2     | 2       | 1   | 2   | 2.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Albert Farrar                | 1       | 2     | 1       | 0   | 2   | 2.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Robert Dick                  | 1       | 2     | 1       | 0   | 2   | 2.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Edgar Backhouse              | 1       | 2     | 1       | 0   | 2   | 2.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Ray Bloom                    | 1       | 2     | 1       | 0   | 2   | 2.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Nick Taylor                  | 8       | 10    | 6       | 1   | 4   | 2.00    | 0        | 0       | 0     | -          | 0       | 0         |
| John Inglis                  | 1       | 4     | 2       | 0   | 2   | 2.00    | 0        | 0       | 40    | 10.00      | 0       | 0         |
| Sam Northeast                | 2       | 4     | 2       | 0   | 3   | 2.00    | 0        | 0       | 29    | 13.79      | 3       | 0         |
| John Ellis                   | 11      | 14    | 15      | 6   | 4   | 1.55    | 0        | 0       | 0     | -          | 0       | 0         |
| F Wilkinson                  | 1       | 3     | 2       | 0   | 2   | 1.50    | 0        | 0       | 0     | -          | 0       | 0         |
| John Holdsworth              | 1       | 3     | 2       | 0   | 2   | 1.50    | 0        | 0       | 0     | -          | 0       | 0         |
| Joseph Barber                | 1       | 3     | 2       | 0   | 3   | 1.50    | 0        | 0       | 0     | -          | 0       | 0         |
| David Pollard                | 1       | 3     | 2       | 0   | 3   | 1.50    | 0        | 0       | 0     | -          | 0       | 0         |
| George Britton               | 1       | 3     | 2       | 0   | 3   | 1.50    | 0        | 0       | 0     | -          | 0       | 0         |
| Lamplough Wallgate           | 2       | 3     | 2       | 0   | 3   | 1.50    | 0        | 0       | 0     | -          | 0       | 0         |
| Arnold Hamer                 | 2       | 3     | 2       | 0   | 3   | 1.50    | 0        | 0       | 0     | -          | 4       | 0         |
| Herbert Thewlis              | 2       | 4     | 4       | 1   | 2   | 1.33    | 0        | 0       | 0     | -          | 0       | 0         |
| John Burman                  | 1       | 1     | 2       | 1   | 1   | 1.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Amos Marshall                | 1       | 2     | 2       | 0   | 2   | 1.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Thomas Pride                 | 1       | 1     | 1       | 0   | 1   | 1.00    | 0        | 0       | 0     | -          | 0       | 0         |
| William Coverdale            | 2       | 2     | 2       | 0   | 1   | 1.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Edgar Firth                  | 1       | 1     | 1       | 0   | 1   | 1.00    | 0        | 0       | 0     | -          | 0       | 0         |
| George Wood                  | 2       | 2     | 2       | 0   | 2   | 1.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Louis Ryder                  | 2       | 1     | 2       | 1   | 1   | 1.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Mark Johnson                 | 4       | 2     | 4       | 2   | 2   | 1.00    | 0        | 0       | 0     | -          | 0       | 0         |
| David Towse                  | 1       | 1     | 1       | 0   | 1   | 1.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Gary Keedy                   | 1       | 1     | 1       | 0   | 1   | 1.00    | 0        | 0       | 0     | -          | 8       | 0         |
| Dominic Leech                | 3       | 1     | 2       | 1   | 1   | 1.00    | 0        | 0       | 24    | 4.16       | 0       | 0         |
| W Lupton                     | 1       | 1     | 2       | 0   | 1   | 0.50    | 0        | 0       | 0     | -          | 0       | 0         |
| J Shackley                   | 1       | 1     | 2       | 0   | 1   | 0.50    | 0        | 0       | 0     | -          | 0       | 0         |
| Arthur Dobson                | 2       | 1     | 3       | 0   | 1   | 0.33    | 0        | 0       | 0     | -          | 0       | 0         |
| Henry Mosley                 | 2       | 1     | 4       | 0   | 1   | 0.25    | 0        | 0       | 0     | -          | 0       | 0         |
| John Smith                   | 1       | 0     | 1       | 0   | 0   | 0.00    | 0        | 0       | 0     | -          | 0       | 0         |
| G Powell                     | 1       | 0     | 1       | 0   | 0   | 0.00    | 0        | 0       | 0     | -          | 0       | 0         |
| William Dawson               | 1       | 0     | 2       | 0   | 0   | 0.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Alexander Corbett            | 1       | 0     | 2       | 0   | 0   | 0.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Francis Baines               | 1       | 0     | 1       | 0   | 0   | 0.00    | 0        | 0       | 0     | -          | 0       | 0         |
| John Bulmer                  | 1       | 0     | 2       | 0   | 0   | 0.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Dick Squire                  | 1       | 0     | 2       | 0   | 0   | 0.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Tom Burgess                  | 1       | 0     | 2       | 1   | 0   | 0.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Frederick Ward               | 1       | 0     | 1       | 0   | 0   | 0.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Frederick Asquith            | 1       | 0     | 1       | 0   | 0   | 0.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Arthur Crowther              | 1       | 0     | 2       | 0   | 0   | 0.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Cecil Parkin                 | 1       | 0     | 1       | 0   | 0   | 0.00    | 0        | 0       | 0     | -          | 4       | 0         |
| Harry Atkinson               | 1       | 0     | 2       | 0   | 0   | 0.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Lewis Linaker                | 1       | 0     | 2       | 0   | 0   | 0.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Philip Cooper                | 1       | 0     | 2       | 0   | 0   | 0.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Raleigh Chichester-Constable | 1       | 0     | 1       | 0   | 0   | 0.00    | 0        | 0       | 0     | -          | 0       | 0         |
| James Brook                  | 1       | 0     | 1       | 0   | 0   | 0.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Donald Shepherd              | 1       | 0     | 1       | 0   | 0   | 0.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Frank McHugh                 | 3       | 0     | 1       | 0   | 0   | 0.00    | 0        | 0       | 0     | -          | 3       | 0         |
| James Cammish                | 2       | 0     | 1       | 0   | 0   | 0.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Paul Anderson                | 1       | 0     | 1       | 0   | 0   | 0.00    | 0        | 0       | 0     | -          | 0       | 0         |
| Alex Lilley                  | 1       | 0     | 1       | 0   | 0   | 0.00    | 0        | 0       | 1     | 0.00       | 0       | 0         |
| Ryan Gibson                  | 1       | 0     | 1       | 0   | 0   | 0.00    | 0        | 0       | 4     | 0.00       | 0       | 0         |
| James Cobbett                | 1       | 31    | 1       | 1   | 31  | -       | 0        | 0       | 0     | -          | 0       | 0         |
| J Womack                     | 1       | 14    | 2       | 2   | 12  | -       | 0        | 0       | 0     | -          | 0       | 0         |
| John Ibbetson                | 2       | 11    | 2       | 2   | 6   | -       | 0        | 0       | 0     | -          | 0       | 0         |
| Alfred Ackroyd               | 1       | 2     | 1       | 1   | 2   | -       | 0        | 0       | 0     | -          | 0       | 0         |
| Joseph Threapleton           | 1       | 8     | 1       | 1   | 8   | -       | 0        | 0       | 0     | -          | 0       | 0         |
| Joshua Penny                 | 1       | 8     | 1       | 1   | 8   | -       | 0        | 0       | 0     | -          | 0       | 0         |
| Thomas Hirst                 | 1       | 5     | 1       | 1   | 5   | -       | 0        | 0       | 0     | -          | 0       | 0         |
| George Lowe                  | 1       | 5     | 1       | 1   | 5   | -       | 0        | 0       | 0     | -          | 0       | 0         |
| Harold Harrison              | 2       | 4     | 1       | 1   | 4   | -       | 0        | 0       | 0     | -          | 0       | 0         |
| William Rhodes               | 1       | 1     | 1       | 1   | 1   | -       | 0        | 0       | 0     | -          | 0       | 0         |
| Humphrey Ward                | 1       | 10    | 1       | 1   | 10  | -       | 0        | 0       | 0     | -          | 0       | 0         |
| Ronald Eckersley             | 1       | 9     | 1       | 1   | 9   | -       | 0        | 0       | 0     | -          | 0       | 0         |
| John Ashman                  | 1       | 0     | 1       | 1   | 0   | -       | 0        | 0       | 0     | -          | 1       | 0         |
| Tony Hatton                  | 3       | 4     | 1       | 1   | 4   | -       | 0        | 0       | 0     | -          | 0       | 0         |
| Dennis Schofield             | 3       | 13    | 4       | 4   | 6   | -       | 0        | 0       | 0     | -          | 0       | 0         |
| Gary Ramsden                 | 1       | 0     | 1       | 1   | 0   | -       | 0        | 0       | 8     | 0.00       | 0       | 0         |
| Barney Gibson                | 1       | 1     | 1       | 1   | 1   | -       | 0        | 0       | 1     | 100.00     | 0       | 0         |
| Mitchell Starc               | 2       | 28    | 1       | 1   | 28  | -       | 0        | 0       | 31    | 90.32      | 0       | 0         |
+------------------------------+---------+-------+---------+-----+-----+---------+----------+---------+-------+------------+---------+-----------+
