+--------------------------+--------------------------+-------+
| Batter                   | Fielder                  | Count |
| Steve Waugh              | Stephen Fleming          | 3     |
| Darren Lehmann           | Nathan Astle             | 3     |
| Adam Gilchrist           | Sachin Tendulkar         | 3     |
| Jacques Kallis           | Marvan Atapattu          | 3     |
| Damien Martyn            | Chris Harris             | 3     |
| Sachin Tendulkar         | Marvan Atapattu          | 3     |
| Craig McMillan           | Sourav Ganguly           | 3     |
| Alistair Campbell        | Sourav Ganguly           | 3     |
| Rahul Dravid             | Heath Streak             | 3     |
| Adam Gilchrist           | Marvan Atapattu          | 3     |
| Ricky Ponting            | Mahela Jayawardene       | 3     |
| Ridley Jacobs            | Shaun Pollock            | 3     |
| Shahid Afridi            | Chaminda Vaas            | 3     |
| Stephen Fleming          | Jacques Kallis           | 3     |
| Marvan Atapattu          | Sourav Ganguly           | 3     |
| Shahid Afridi            | Anil Kumble              | 3     |
| Nathan Astle             | Ricky Ponting            | 3     |
| Nathan Astle             | Rahul Dravid             | 3     |
| Adam Gilchrist           | Rahul Dravid             | 3     |
| Brian Lara               | Rahul Dravid             | 3     |
| Sourav Ganguly           | Shaun Pollock            | 3     |
| Shahid Afridi            | Mahela Jayawardene       | 3     |
| Sourav Ganguly           | Chris Harris             | 3     |
| Rahul Dravid             | Damien Martyn            | 3     |
| Ricky Ponting            | VVS Laxman               | 3     |
| Moin Khan                | Damien Martyn            | 3     |
| Ricky Ponting            | Rahul Dravid             | 3     |
| Saeed Anwar              | Shane Warne              | 3     |
| Chris Cairns             | Brett Lee                | 3     |
| Daniel Vettori           | Andrew Symonds           | 3     |
| Herschelle Gibbs         | Inzamam-ul-Haq           | 3     |
| Shaun Pollock            | Mahela Jayawardene       | 3     |
| Marcus Trescothick       | Alistair Campbell        | 3     |
| Mohammad Yousuf          | Mahela Jayawardene       | 3     |
| Mark Boucher             | Mahela Jayawardene       | 3     |
| Sherwin Campbell         | Alistair Campbell        | 3     |
| Chris Cairns             | Shaun Pollock            | 3     |
| Adam Gilchrist           | Sourav Ganguly           | 3     |
| Yuvraj Singh             | Tillakaratne Dilshan     | 3     |
| Nathan Astle             | Jacques Kallis           | 3     |
| Grant Flower             | Yuvraj Singh             | 3     |
| Chaminda Vaas            | Herschelle Gibbs         | 3     |
| Wavell Hinds             | Ricky Ponting            | 3     |
| Kumar Sangakkara         | Boeta Dippenaar          | 3     |
| Matthew Hayden           | Sourav Ganguly           | 3     |
| Younis Khan              | Mahela Jayawardene       | 3     |
| Herschelle Gibbs         | Shiv Chanderpaul         | 3     |
| Michael Vaughan          | Younis Khan              | 3     |
| Dion Ebrahim             | VVS Laxman               | 3     |
| Shiv Chanderpaul         | Sourav Ganguly           | 3     |
| Yuvraj Singh             | Muttiah Muralitharan     | 3     |
| Marcus Trescothick       | Grant Flower             | 3     |
| Khaled Mahmud            | Stuart Carlisle          | 3     |
| Jacques Kallis           | Lou Vincent              | 3     |
| Ricky Ponting            | Herschelle Gibbs         | 3     |
| Virender Sehwag          | Marcus Trescothick       | 3     |
| Rahul Dravid             | Ramnaresh Sarwan         | 3     |
