+-----------------------------------------------------------------------------------------------------------------------------------------------------+---------+------+------+------+--------+
| Player                                                                                                                                              | Matches | Wins | Loss | Tied | Others |
| [AB de Villiers, AG Prince, AN Petersen, DW Steyn, GC Smith, HM Amla, JH Kallis, LL Tsotsobe, M Morkel, MV Boucher, PL Harris]                      | 5       | 2    | 1    | 0    | 2      |
| [BJ Haddin, CJL Rogers, DA Warner, GJ Bailey, MG Johnson, MJ Clarke, NM Lyon, PM Siddle, RJ Harris, SPD Smith, SR Watson]                           | 5       | 5    | 0    | 0    | 0      |
| [CT Bancroft, DA Warner, JR Hazlewood, MA Starc, MR Marsh, NM Lyon, PJ Cummins, SE Marsh, SPD Smith, TD Paine, Usman Khawaja]                       | 5       | 3    | 2    | 0    | 0      |
| [A Shaw, A Shrewsbury, E Peate, G Ulyett, J Selby, R Pilling, RG Barlow, T Emmett, W Bates, WE Midwinter, WH Scotton]                               | 4       | 0    | 2    | 0    | 2      |
| [A Ward, AC MacLaren, AE Stoddart, FGJ Ford, H Philipson, J Briggs, JT Brown, R Peel, T Richardson, W Brockwell, WH Lockwood]                       | 4       | 2    | 2    | 0    | 0      |
| [AL Hassett, AR Morris, CL McCool, IWG Johnson, J Moroney, KR Miller, RA Saggers, RN Harvey, RR Lindwall, SJE Loxton, WA Johnston]                  | 4       | 3    | 0    | 0    | 1      |
| [ATW Grout, BC Booth, GD McKenzie, GE Corling, IR Redpath, NCL O'Neill, NJN Hawke, PJP Burge, RB Simpson, TR Veivers, WM Lawry]                     | 4       | 0    | 0    | 0    | 4      |
| [AA Mallett, AN Connolly, AP Sheahan, GD McKenzie, HB Taber, IM Chappell, IR Redpath, JW Gleeson, KD Walters, KR Stackpole, WM Lawry]               | 4       | 1    | 2    | 0    | 1      |
| [APE Knott, AW Greig, CM Old, D Lloyd, DL Amiss, DL Underwood, GG Arnold, JH Edrich, KWR Fletcher, M Hendrick, MH Denness]                          | 4       | 2    | 0    | 0    | 2      |
| [A Turner, DK Lillee, GJ Cosier, GJ Gilmour, GS Chappell, IC Davis, KD Walters, KJ O'Keeffe, MHN Walker, RB McCosker, RW Marsh]                     | 4       | 2    | 1    | 0    | 1      |
| [DI Gower, DW Randall, G Boycott, G Miller, GA Gooch, IT Botham, JE Emburey, JM Brearley, M Hendrick, RGD Willis, RW Taylor]                        | 4       | 3    | 1    | 0    | 0      |
| [CPS Chauhan, DB Vengsarkar, DR Doshi, GR Viswanath, KD Ghavri, Kapil Dev, NS Yadav, RMH Binny, SM Gavaskar, SMH Kirmani, Yashpal Sharma]           | 4       | 1    | 0    | 0    | 3      |
| [AR Border, B Yardley, BM Laird, DK Lillee, GM Wood, GS Chappell, J Dyson, JR Thomson, KJ Hughes, RW Marsh, TM Alderman]                            | 4       | 1    | 1    | 0    | 2      |
| [AL Logie, AME Roberts, CG Greenidge, CH Lloyd, DL Haynes, HA Gomes, IVA Richards, J Garner, MA Holding, MD Marshall, PJL Dujon]                    | 4       | 2    | 0    | 0    | 2      |
| [A Kumble, KS More, Kapil Dev, M Azharuddin, M Prabhakar, NS Sidhu, PK Amre, RK Chauhan, SLV Raju, SR Tendulkar, VG Kambli]                         | 4       | 3    | 0    | 0    | 1      |
| [BP Julian, DC Boon, GD McGrath, GS Blewett, IA Healy, MA Taylor, ME Waugh, MJ Slater, PR Reiffel, SK Warne, SR Waugh]                              | 4       | 2    | 1    | 0    | 1      |
| [AC Gilchrist, DR Martyn, DS Lehmann, GD McGrath, JL Langer, JN Gillespie, MJ Clarke, ML Hayden, MS Kasprowicz, RT Ponting, SK Warne]               | 4       | 4    | 0    | 0    | 0      |
| [A Flintoff, AF Giles, AJ Strauss, GO Jones, IR Bell, KP Pietersen, ME Trescothick, MJ Hoggard, MP Vaughan, SJ Harmison, SP Jones]                  | 4       | 2    | 1    | 0    | 1      |
| [AJ Strauss, AN Cook, EJG Morgan, GP Swann, IJL Trott, JM Anderson, KP Pietersen, MJ Prior, PD Collingwood, SCJ Broad, ST Finn]                     | 4       | 3    | 1    | 0    | 0      |
| [AJ Strauss, AN Cook, CT Tremlett, EJG Morgan, GP Swann, IJL Trott, IR Bell, JM Anderson, KP Pietersen, MJ Prior, SCJ Broad]                        | 4       | 2    | 1    | 0    | 1      |
| [Abdur Rehman, Adnan Akmal, Aizaz Cheema, Asad Shafiq, Azhar Ali, Misbah-ul-Haq, Mohammad Hafeez, Saeed Ajmal, Taufeeq Umar, Umar Gul, Younis Khan] | 4       | 4    | 0    | 0    | 0      |
| [AB de Villiers, AN Petersen, D Elgar, DW Steyn, F du Plessis, GC Smith, HM Amla, JH Kallis, M Morkel, RJ Peterson, VD Philander]                   | 4       | 4    | 0    | 0    | 0      |
| [BB McCullum, BJ Watling, BP Martin, DG Brownlie, HD Rutherford, KS Williamson, LRPL Taylor, N Wagner, PG Fulton, TA Boult, TG Southee]             | 4       | 0    | 1    | 0    | 3      |
| [A Lyth, AN Cook, BA Stokes, GS Ballance, IR Bell, JC Buttler, JE Root, JM Anderson, MA Wood, MM Ali, SCJ Broad]                                    | 4       | 2    | 2    | 0    | 0      |
| [D Bishoo, J Blackwood, JO Holder, KA Hope, KAJ Roach, KC Brathwaite, KOA Powell, RL Chase, SD Hope, SO Dowrich, ST Gabriel]                        | 4       | 2    | 1    | 0    | 1      |
| [D Bishoo, DS Smith, JO Holder, KAJ Roach, KC Brathwaite, KOA Powell, ML Cummins, RL Chase, SD Hope, SO Dowrich, ST Gabriel]                        | 4       | 2    | 1    | 0    | 1      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------+---------+------+------+------+--------+
