+------+----------------------+----------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Size | Batsman              | Bowler               | Matches                                                                                                                                                                                                                                     |
| 4    | Lendl Simmons        | Shakib Al Hasan      | [West Indies v Bangladesh, Mumbai Indians v Kolkata Knight Riders, Rajshahi Kings v Dhaka Dynamites, Trinbago Knight Riders v Barbados Tridents]                                                                                            |
| 4    | Chadwick Walton      | Sohail Tanvir        | [Jamaica Tallawahs v St Lucia Zouks, Jamaica Tallawahs v Guyana Amazon Warriors, West Indies v Pakistan, Karachi Kings v Multan Sultans]                                                                                                    |
| 4    | Nicolas Pooran       | Sunil Narine         | [Trinidad and Tobago Red Steel v Guyana Amazon Warriors, Sylhet Sixers v Dhaka Dynamites, Kings XI Punjab v Kolkata Knight Riders, Guyana Amazon Warriors v Trinbago Knight Riders]                                                         |
| 4    | Kieron Pollard       | Andre Russell        | [Barbados Tridents v Jamaica Tallawahs, Multan Sultans v Islamabad United, St Lucia Stars v Jamaica Tallawahs, Mumbai Indians v Kolkata Knight Riders]                                                                                      |
| 4    | Chris Gayle          | Andre Russell        | [Lions v Knights, Chittagong Vikings v Dhaka Dynamites, Kings XI Punjab v Kolkata Knight Riders, Rangpur Riders v Dhaka Dynamites]                                                                                                          |
| 4    | Chris Gayle          | Imran Tahir          | [West Indies v South Africa, St Kitts and Nevis Patriots v Guyana Amazon Warriors, Jamaica Tallawahs v Guyana Amazon Warriors, Kings XI Punjab v Chennai Super Kings]                                                                       |
| 4    | Kieron Pollard       | David Wiese          | [West Indies v South Africa, Mumbai Indians v Royal Challengers Bangalore, Peshawar Zalmi v Lahore Qalandars, Trinbago Knight Riders v St Lucia Kings]                                                                                      |
| 4    | Andre Russell        | Imran Tahir          | [Kolkata Knight Riders v Delhi Daredevils, West Indies v South Africa, Islamabad United v Multan Sultans, Kolkata Knight Riders v Chennai Super Kings]                                                                                      |
| 4    | Shoaib Malik         | Mohammad Aamer       | [Sialkot Stallions v Rawalpindi Rams, Rajshahi Royals v Khulna Tigers, Peshawar Zalmi v Karachi Kings, Jaffna Kings v Galle Gladiators]                                                                                                     |
| 4    | Andre Russell        | David Wiese          | [Jamaica Tallawahs v Guyana Amazon Warriors, Knights v Titans, Jamaica Tallawahs v Barbados Tridents, Dhaka Dynamites v Khulna Titans]                                                                                                      |
| 4    | Khaya Zondo          | Sisanda Magala       | [Dolphins v Warriors, Durban Heat v Nelson Mandela Bay Giants, Dolphins v Lions, KwaZulu-Natal Coastal v Gauteng]                                                                                                                           |
| 4    | Sabbir Rahman        | Tissara Perera       | [Barisal Bulls v Rangpur Riders, Sylhet Sixers v Rangpur Riders, Bangladesh v Sri Lanka, Comilla Warriors v Dhaka Platoon]                                                                                                                  |
| 4    | Soumya Sarkar        | Mustafizur Rahman    | [Rangpur Riders v Dhaka Dynamites, Chittagong Vikings v Rajshahi Kings, Comilla Warriors v Rangpur Rangers, Gazi Group Cricketers v Prime Bank Cricket Club]                                                                                |
| 4    | Tamim Iqbal          | Shuvagata Hom        | [Chittagong Vikings v Comilla Victorians, Comilla Victorians v Dhaka Dynamites, Barisal v Khulna, Prime Bank Cricket Club v Mohammedan Sporting Club]                                                                                       |
| 4    | James Vince          | Mohammad Nabi        | [Karachi Kings v Quetta Gladiators, England v Afghanistan, Hampshire v Kent, Sydney Sixers v Melbourne Renegades]                                                                                                                           |
| 4    | Lendl Simmons        | Wahab Riaz           | [Karachi Kings v Peshawar Zalmi, Jamaica Tallawahs v Barbados Tridents, St Lucia Stars v Barbados Tridents, Trinbago Knight Riders v St Lucia Kings]                                                                                        |
| 4    | Mohammad Nabi        | Imran Tahir          | [Afghanistan v South Africa, Leicestershire v Durham, St Lucia Zouks v Guyana Amazon Warriors, Karachi Kings v Multan Sultans]                                                                                                              |
| 4    | Rashid Khan          | Chris Morris         | [Afghanistan v South Africa, Sunrisers v Delhi Capitals, Sussex v Hampshire, Adelaide Strikers v Sydney Thunder]                                                                                                                            |
| 4    | Glenn Maxwell        | Jasprit Bumrah       | [Australia v India, Kings XI Punjab v Mumbai Indians, Delhi Daredevils v Mumbai Indians, Royal Challengers Bangalore v Mumbai Indians]                                                                                                      |
| 4    | Kamran Akmal         | Sohail Khan          | [Lahore Whites v Karachi Whites, Peshawar Zalmi v Karachi Kings, Lahore Whites v Islamabad, Central Punjab v Sindh]                                                                                                                         |
| 4    | Soumya Sarkar        | Mashrafe Mortaza     | [Rangpur Riders v Comilla Victorians, Chittagong Vikings v Rangpur Riders, Rajshahi Kings v Rangpur Riders, Chittagong v Khulna]                                                                                                            |
| 4    | Chris Lynn           | Chris Jordan         | [Brisbane Heat v Adelaide Strikers, Australia v England, Brisbane Heat v Perth Scorchers, Northern Superchargers Men v Southern Brave Men]                                                                                                  |
| 4    | Chris Green          | Dwayne Bravo         | [Sydney Thunder v Melbourne Renegades, Guyana Amazon Warriors v Trinbago Knight Riders, Sydney Thunder v Melbourne Stars, Jamaica Tallawahs v St Kitts and Nevis Patriots]                                                                  |
