TITLE: Highest Scores On List A Debut
+-------------------------------+------+------------------------------------------------------------------------------+------------+-------------------------------------------------------------------------------+---------+----------+
| Player                        | Runs | Match                                                                        | StartDate  | Venue                                                                         | MatchId | PlayerId |
| Mike Barnard                  | 98   | Hampshire v Derbyshire                                                       | 1963-05-22 | Dean Park, Bournemouth                                                        | a4      | 6466     |
| Chirag Jani                   | 98   | Saurashtra v Maharashtra                                                     | 2012-02-23 | Bandra Kurla Complex, Mumbai                                                  | a21799  | 172765   |
| Haider Ali                    | 98   | Bahrain v Vanuatu                                                            | 2024-02-22 | Universiti Kebangsaan Malaysia Cricket Oval, Bangi                            | a30751  | 1493174  |
| David Green                   | 97   | Lancashire v Kent                                                            | 1964-05-27 | Old Trafford, Manchester                                                      | a25     | 29759    |
| Kashif Khan                   | 97   | Lahore City v Rawalpindi                                                     | 1989-09-12 | Gaddafi Stadium, Lahore                                                       | a6209   | 19214    |
| Javed Miandad                 | 97   | Lahore Blues v Habib Bank Limited                                            | 2002-03-20 | Lahore City Cricket Association Ground, Lahore                                | a14186  | 45017    |
| Adam Tillcock                 | 97   | Nottinghamshire v Bangladesh A                                               | 2013-08-14 | Trent Bridge, Nottingham                                                      | a22772  | 385194   |
| Omar Sharif                   | 96   | Rajshahi Division v Biman Bangladesh Airlines                                | 2000-12-05 | Bangladesh Krira Shikkha Protisthan Ground, Savar                             | a13121  | 35161    |
| Colin de Grandhomme           | 96   | Manicaland v Namibia                                                         | 2004-11-12 | Country Club, Harare                                                          | a16231  | 62222    |
| Rahul Dave                    | 96   | Saurashtra v Baroda                                                          | 2013-02-18 | Pune Club Ground, Pune                                                        | a22421  | 153969   |
| Richard Cooper                | 95   | Somerset v Minor Counties South                                              | 1972-04-29 | Peverell Park, Plymouth                                                       | a643    | 3498     |
| Shakil Haider                 | 95   | Rajshahi Division v Chittagong Division                                      | 2007-12-18 | Bir Shrestha Shahid Captain Mohiuddin Jahangir Stadium, Rajshahi              | a18627  | 242599   |
| Rushabh Patel                 | 95   | Kenya v Papua New Guinea                                                     | 2016-05-30 | Amini Park, Port Moresby                                                      | a24730  | 1013989  |
| Tahir Baig                    | 95   | Sui Northern Gas Pipelines Limited v Oil and Gas Development Company Limited | 2024-10-10 | Saeed Sports City, Lahore                                                     | a31193  | 2736416  |
| Romesh Bittoo                 | 94   | Himachal Pradesh v Services                                                  | 1993-12-12 | Indira Gandhi Stadium, Una                                                    | a8380   | 17922    |
| Myles Williamson              | 94   | Western Province v KwaZulu-Natal                                             | 2005-10-16 | Chatsworth Stadium, Chatsworth                                                | a16906  | 88131    |
| Solomon Mire                  | 94   | Centrals v Southerns                                                         | 2007-03-22 | Country Club, Harare                                                          | a18123  | 174999   |
| Samarth Vyas                  | 94   | Saurashtra v Bengal                                                          | 2015-12-18 | Saurashtra Cricket Association Stadium, Rajkot                                | a24467  | 1059380  |
