+-------+-------------------------------+---------+--------+-------+
| Rank  | Batsman                       | Average | Others | Ratio |
| 371   | Abhijit Kale                  | 54.45   | 32.59  | 1.670 |
| 372   | David Sheppard                | 43.51   | 26.06  | 1.669 |
| 373   | Ken Meuleman                  | 47.60   | 28.51  | 1.669 |
| 374   | Gussie Cox                    | 27.39   | 16.40  | 1.669 |
| 375   | Ankit Bawne                   | 51.82   | 31.06  | 1.668 |
| 376   | Will Pucovski                 | 51.63   | 30.95  | 1.668 |
| 377   | Percy Goodman                 | 30.91   | 18.53  | 1.667 |
| 378   | Rajat Bhatia                  | 49.10   | 29.44  | 1.667 |
| 379   | Lancelot Hemus                | 36.00   | 21.59  | 1.667 |
| 380   | George Challenor              | 38.55   | 23.13  | 1.666 |
| 381   | Alfred Lubbock                | 23.70   | 14.22  | 1.666 |
| 382   | Mandeep Singh                 | 49.77   | 29.87  | 1.665 |
| 383   | Monty Noble                   | 40.74   | 24.47  | 1.664 |
| 384   | Kusal Edusuriya               | 46.31   | 27.82  | 1.664 |
| 385   | Ramesh Saxena                 | 40.37   | 24.25  | 1.664 |
| 386   | Mahela Jayawardene            | 49.70   | 29.86  | 1.664 |
| 387   | Pravin Amre                   | 48.86   | 29.37  | 1.663 |
| 388   | Les Ames                      | 43.51   | 26.17  | 1.662 |
| 389   | Sunil Gavaskar                | 51.46   | 30.96  | 1.662 |
| 390   | Darnton Davey                 | 25.22   | 15.19  | 1.660 |
| 391   | Amandeep Khare                | 44.96   | 27.08  | 1.659 |
| 392   | Bhaskar Pillai                | 52.84   | 31.84  | 1.659 |
| 393   | Dean Jones                    | 51.85   | 31.25  | 1.659 |
| 394   | Ijaz Ahmed                    | 40.93   | 24.67  | 1.658 |
| 395   | Dhiru Patel                   | 38.33   | 23.11  | 1.658 |
| 396   | Vijay Mohanraj                | 45.86   | 27.65  | 1.658 |
| 397   | Stanley Jackson               | 33.83   | 20.40  | 1.657 |
| 398   | Billy Zulch                   | 41.83   | 25.23  | 1.657 |
| 399   | Lanka de Silva                | 40.99   | 24.74  | 1.656 |
| 400   | Raman Lamba                   | 53.84   | 32.49  | 1.656 |
