+-------------------------------------------------+--------------------+-----------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------+
| Team                                            | # Of Matches(Draw) | Start Streak                                                                            | End Streak                                                                                |
| Burgher Recreation Club                         | 9                  | Burgher Recreation Club v Moors Sports Club(2002-03-15)                                 | Burgher Recreation Club v Nondescripts Cricket Club(2003-01-17)                           |
| Sinhalese Sports Club                           | 9                  | Burgher Recreation Club v Sinhalese Sports Club(2020-02-22)                             | Sinhalese Sports Club v Police Sports Club(2022-09-04)                                    |
| Galle Cricket Club                              | 9                  | Galle Cricket Club v Singha Sports Club(1990-03-02)                                     | Colts Cricket Club v Galle Cricket Club(1991-11-08)                                       |
| Tamil Union Cricket and Athletic Club           | 9                  | Moors Sports Club v Tamil Union Cricket and Athletic Club(2018-01-26)                   | Moors Sports Club v Tamil Union Cricket and Athletic Club(2019-01-11)                     |
| Nondescripts Cricket Club                       | 9                  | Nondescripts Cricket Club v Singha Sports Club(2001-01-19)                              | Burgher Recreation Club v Nondescripts Cricket Club(2001-04-27)                           |
| Nondescripts Cricket Club                       | 9                  | Sinhalese Sports Club v Nondescripts Cricket Club(2004-10-01)                           | Nondescripts Cricket Club v Chilaw Marians Cricket Club(2005-12-29)                       |
| Nondescripts Cricket Club                       | 9                  | Nondescripts Cricket Club v Saracens Sports Club(2011-03-18)                            | Nondescripts Cricket Club v Lankan Cricket Club(2012-02-17)                               |
| Sri Lanka Air Force Sports Club                 | 9                  | Galle Cricket Club v Sri Lanka Air Force Sports Club(2019-02-01)                        | Sri Lanka Air Force Sports Club v Kurunegala Youth Cricket Club(2020-01-31)               |
| Moors Sports Club                               | 9                  | Moors Sports Club v Nondescripts Cricket Club(1990-12-14)                               | Nondescripts Cricket Club v Moors Sports Club(1991-11-15)                                 |
| Singha Sports Club                              | 9                  | Galle Cricket Club v Singha Sports Club(1999-01-02)                                     | Tamil Union Cricket and Athletic Club v Singha Sports Club(1999-02-26)                    |
| Saracens Sports Club                            | 9                  | Burgher Recreation Club v Saracens Sports Club(2016-12-09)                              | Moors Sports Club v Saracens Sports Club(2017-12-08)                                      |
| Kurunegala Youth Cricket Club                   | 9                  | Kurunegala Youth Cricket Club v Colts Cricket Club(2003-11-14)                          | Kurunegala Youth Cricket Club v Sinhalese Sports Club(2004-10-22)                         |
| New Zealand A                                   | 9                  | Pakistan A v New Zealand A(2018-10-30)                                                  | New Zealand A v West Indians(2020-11-26)                                                  |
| Sri Lanka Navy Sports Club                      | 9                  | Police Sports Club v Sri Lanka Navy Sports Club(2017-12-21)                             | Kalutara Town Club v Sri Lanka Navy Sports Club(2019-02-05)                               |
| South Western Districts                         | 9                  | South Western Districts v Eastern Province(2017-11-02)                                  | Northerns v South Western Districts(2018-03-01)                                           |
| Knights                                         | 9                  | Knights v Cape Cobras(2017-09-19)                                                       | Warriors v Knights(2018-03-15)                                                            |
| Khyber Pakhtunkhwa                              | 9                  | Khyber Pakhtunkhwa v Federal Areas(2012-01-31)                                          | Khyber Pakhtunkhwa v Southern Punjab(2019-11-11)                                          |
| Central Punjab                                  | 9                  | Central Punjab v Sindh(2022-09-27)                                                      | Central Punjab v Baluchistan(2022-11-14)                                                  |
+-------------------------------------------------+--------------------+-----------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------+
