+-------------------------+--------------+---------+-------+-----+-----+---------+------------+---------+-------+-----+-----+---------+--------+
| Batsman                 | Test Matches | Innings | Runs  | Nos | HS  | Average | FC Matches | Innings | Runs  | Nos | HS  | Average | Diff   |
| Simon Katich            | 56           | 99      | 4188  | 6   | 157 | 45.03   | 266        | 448     | 20926 | 52  | 306 | 52.84   | 7.81   |
| Rohit Sharma            | 43           | 74      | 3047  | 9   | 212 | 46.87   | 104        | 165     | 8033  | 18  | 309 | 54.64   | 7.76   |
| Chris Lewis             | 32           | 51      | 1105  | 3   | 117 | 23.02   | 189        | 275     | 7406  | 34  | 247 | 30.73   | 7.70   |
| Grant Flower            | 67           | 123     | 3457  | 6   | 201 | 29.54   | 188        | 318     | 10898 | 25  | 243 | 37.19   | 7.64   |
| Wally Grout             | 51           | 67      | 890   | 8   | 74  | 15.08   | 183        | 253     | 5168  | 24  | 119 | 22.56   | 7.48   |
| Kamran Akmal            | 53           | 92      | 2648  | 6   | 158 | 30.79   | 247        | 382     | 13391 | 32  | 275 | 38.26   | 7.46   |
| Karsan Ghavri           | 39           | 57      | 913   | 14  | 86  | 21.23   | 159        | 205     | 4500  | 48  | 102 | 28.66   | 7.42   |
| Shaun Marsh             | 38           | 68      | 2265  | 2   | 182 | 34.31   | 179        | 317     | 11897 | 32  | 214 | 41.74   | 7.42   |
| Gautam Gambhir          | 58           | 104     | 4154  | 5   | 206 | 41.95   | 198        | 331     | 15153 | 24  | 233 | 49.35   | 7.39   |
| Dinesh Chandimal        | 64           | 117     | 4217  | 10  | 164 | 39.41   | 128        | 219     | 9217  | 22  | 354 | 46.78   | 7.37   |
| Shane Watson            | 59           | 109     | 3731  | 3   | 176 | 35.19   | 137        | 241     | 9451  | 19  | 203 | 42.57   | 7.37   |
| Tom Hayward             | 35           | 60      | 1999  | 2   | 137 | 34.46   | 712        | 1138    | 43547 | 96  | 315 | 41.79   | 7.32   |
| Bert Sutcliffe          | 42           | 76      | 2727  | 8   | 230 | 40.10   | 233        | 407     | 17447 | 39  | 385 | 47.41   | 7.30   |
| Hansie Cronje           | 68           | 111     | 3714  | 9   | 135 | 36.41   | 184        | 310     | 12103 | 33  | 251 | 43.69   | 7.28   |
| Mark Greatbatch         | 41           | 71      | 2021  | 5   | 146 | 30.62   | 170        | 292     | 9890  | 31  | 202 | 37.89   | 7.27   |
| Mitchell Marsh          | 32           | 55      | 1260  | 5   | 181 | 25.20   | 104        | 180     | 5349  | 15  | 211 | 32.41   | 7.21   |
| Arthur Morris           | 46           | 79      | 3533  | 3   | 206 | 46.48   | 162        | 250     | 12614 | 15  | 290 | 53.67   | 7.18   |
| Jeff Dujon              | 81           | 115     | 3322  | 11  | 139 | 31.94   | 200        | 298     | 9763  | 48  | 163 | 39.05   | 7.10   |
| Dominic Cork            | 37           | 56      | 864   | 8   | 59  | 18.00   | 321        | 465     | 10114 | 61  | 200 | 25.03   | 7.03   |
| Michael Kasprowicz      | 38           | 54      | 445   | 12  | 25  | 10.59   | 242        | 328     | 4401  | 78  | 92  | 17.60   | 7.00   |
| Dimuth Karunaratne      | 74           | 143     | 5454  | 5   | 244 | 39.52   | 174        | 305     | 13160 | 22  | 244 | 46.50   | 6.98   |
| Upul Tharanga           | 31           | 58      | 1754  | 3   | 165 | 31.89   | 155        | 261     | 9637  | 13  | 265 | 38.85   | 6.96   |
| Mohammad Azharuddin     | 99           | 147     | 6215  | 9   | 199 | 45.03   | 229        | 343     | 15855 | 38  | 226 | 51.98   | 6.94   |
| Basil Butcher           | 44           | 78      | 3104  | 6   | 209 | 43.11   | 169        | 262     | 11628 | 29  | 209 | 49.90   | 6.79   |
| Motganhalli Jaisimha    | 39           | 71      | 2056  | 4   | 129 | 30.68   | 245        | 388     | 13516 | 27  | 259 | 37.44   | 6.75   |
| Zaheer Abbas            | 78           | 124     | 5062  | 11  | 274 | 44.79   | 459        | 768     | 34843 | 92  | 274 | 51.54   | 6.74   |
| Javed Omar              | 40           | 80      | 1720  | 2   | 119 | 22.05   | 102        | 191     | 5353  | 5   | 173 | 28.77   | 6.72   |
| Alistair Campbell       | 60           | 109     | 2858  | 4   | 103 | 27.21   | 129        | 223     | 6701  | 25  | 196 | 33.84   | 6.62   |
| Cheteshwar Pujara       | 95           | 162     | 6713  | 9   | 206 | 43.87   | 225        | 372     | 16856 | 38  | 352 | 50.46   | 6.59   |
| Graham Gooch            | 118          | 215     | 8900  | 6   | 333 | 42.58   | 581        | 990     | 44846 | 75  | 333 | 49.01   | 6.42   |
| Hashan Tillakaratne     | 83           | 131     | 4545  | 25  | 204 | 42.87   | 252        | 351     | 13258 | 82  | 204 | 49.28   | 6.40   |
| Roy McLean              | 40           | 73      | 2120  | 3   | 142 | 30.28   | 200        | 318     | 10969 | 19  | 207 | 36.68   | 6.39   |
| Adam Parore             | 78           | 128     | 2865  | 19  | 110 | 26.28   | 163        | 252     | 6826  | 43  | 155 | 32.66   | 6.37   |
| Mehedi Hasan            | 31           | 57      | 1012  | 7   | 103 | 20.24   | 53         | 85      | 1912  | 13  | 103 | 26.55   | 6.31   |
| Chris Tavar?            | 31           | 56      | 1755  | 2   | 149 | 32.50   | 431        | 717     | 24906 | 75  | 219 | 38.79   | 6.29   |
| Geoff Marsh             | 50           | 93      | 2854  | 7   | 138 | 33.18   | 184        | 323     | 11760 | 25  | 355 | 39.46   | 6.27   |
| Vic Pollard             | 32           | 59      | 1266  | 7   | 116 | 24.34   | 130        | 207     | 5314  | 33  | 146 | 30.54   | 6.19   |
| George Giffen           | 31           | 53      | 1238  | 0   | 161 | 23.35   | 251        | 421     | 11758 | 23  | 271 | 29.54   | 6.18   |
| Trevor Goddard          | 41           | 78      | 2516  | 5   | 112 | 34.46   | 179        | 298     | 11289 | 20  | 222 | 40.60   | 6.14   |
| Jacques Rudolph         | 48           | 83      | 2622  | 9   | 222 | 35.43   | 294        | 508     | 19825 | 31  | 228 | 41.56   | 6.12   |
| Mark Butcher            | 71           | 131     | 4288  | 7   | 173 | 34.58   | 280        | 478     | 17870 | 39  | 259 | 40.70   | 6.12   |
| Venkat                  | 57           | 76      | 748   | 12  | 64  | 11.68   | 341        | 457     | 6617  | 84  | 137 | 17.73   | 6.05   |
| Chris Old               | 46           | 66      | 845   | 9   | 65  | 14.82   | 379        | 463     | 7756  | 91  | 116 | 20.84   | 6.02   |
| Malcolm Marshall        | 81           | 107     | 1810  | 11  | 92  | 18.85   | 408        | 516     | 11004 | 73  | 120 | 24.83   | 5.98   |
| Joe Darling             | 34           | 60      | 1657  | 2   | 178 | 28.56   | 202        | 333     | 10635 | 25  | 210 | 34.52   | 5.96   |
